Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
"      Managers in animal husbandry, forestry and fishing n.e.c.",1219,x,13.65,0.7,13.12,-5.2,x,x,x,x,x,14.13,x,x,x,x
    Managers And Proprietors In Hospitality And Leisure Services,122,182,10.56,2.0,12.15,1.4,7.03,7.88,8.38,8.84,9.65,11.53,13.02,13.89,15.18,18.99
      Hotel and accommodation managers,1221,19,11.97,5.6,14.83,3.2,7.54,8.5,8.88,9.5,11.15,13.88,15.8,16.53,x,x
      Conference and exhibition managers,1222,14,13.9,1.4,15.98,2.7,9.6,10.75,11.05,11.44,12.77,15.95,17.5,18.36,x,x
      Restaurant and catering managers,1223,83,9.95,3.7,10.82,2.0,6.98,7.68,8.07,8.5,9.23,10.78,11.82,12.62,13.23,15.34
      Publicans and managers of licensed premises,1224,30,8.86,-1.1,9.52,-2.7,6.39,7.04,7.24,7.35,8.08,9.47,10.42,10.83,11.28,x
      Leisure and sports managers,1225,32,12.29,0.9,14.64,4.7,8,8.88,9.37,9.99,10.82,13.84,15.29,16.62,17.73,x
      Travel agency managers,1226,x,x,,17.29,7.1,x,x,x,x,11.72,x,x,x,x,x
    Managers And Proprietors In Other Service Industries,123,214,16.49,-0.4,18.87,-3.4,8.7,10.73,11.55,12.63,14.53,18.52,20.86,22.39,24.34,31.34
"      Property, housing and land managers",1231,83,17.61,-0.6,19.57,-6.2,9.58,11.94,13.1,14,16.06,19.54,21.5,23.04,25.24,x
      Garage managers and proprietors,1232,8,13.74,6.8,14.33,-2.6,x,10.42,11,11.26,12.52,14.48,15.18,x,x,x
      Hairdressing and beauty salon managers and proprietors,1233,x,x,,11.26,-0.5,x,x,x,x,8.31,x,x,x,x,x
      Shopkeepers and wholesale/retail dealers,1234,13,12.56,-1.5,16.16,-15.2,6.76,7.63,7.99,8.66,10.01,14.68,x,x,x,x
      Recycling and refuse disposal managers,1235,6,16.53,6.8,18.61,11.0,x,13.44,14,15.28,15.89,18.56,x,x,x,x
      Managers and proprietors in other services n.e.c.,1239,101,16.42,-1.1,19.31,-0.9,8.34,10.49,11.15,12.27,14.37,18.75,21.49,23.04,24.69,x
Professional occupations,2,2791,19.96,1.1,21.93,0.8,12.2,14.63,15.56,16.38,18.25,21.88,24.06,25.49,27.13,33.41
   Science and technology professionals,21,881,18.58,0.8,19.89,0.9,11.61,13.8,14.78,15.54,16.99,20.43,22.49,23.78,25.12,29.77
    Science Professionals,211,96,18.07,-2.9,19.72,-2.8,10.98,13.49,14.2,14.81,16.59,19.91,22.33,23.47,24.65,28.68
      Chemists,2111,28,15.98,-2.7,17.48,-6.0,9.54,11.31,11.85,13.6,14.78,17.2,19.12,20.19,22.57,x
      Biological scientists and biochemists,2112,53,18.93,1.4,19.8,-0.6,11.52,13.65,14.55,15.52,17.29,20.61,22.61,23.71,24.59,x
"      Physicists, geologists and meteorologists",2113,14,20.91,-0.8,23.86,-1.0,12.89,14.84,15.68,17.13,18.7,22.73,25.81,x,x,x
    Engineering Professionals,212,394,17.96,1.3,19.08,2.4,11.75,13.48,14.34,15.26,16.43,19.47,21.56,22.63,23.86,27.9
      Civil engineers,2121,56,17.17,1.2,17.95,-0.2,10.52,12.28,13.1,14.01,15.77,18.65,20.76,22,22.81,x
      Mechanical engineers,2122,38,20.32,3.7,21.46,3.7,12.81,14.42,15.36,16.17,18.28,22.71,24.58,26.5,27.9,x
      Electrical engineers,2123,25,21.45,1.9,21.97,4.3,13.35,16.58,17.21,18.64,19.87,22.94,24.28,25.6,26.91,x
      Electronics engineers,2124,10,21.39,-0.4,22.01,0.0,x,17.9,18.5,19,20.89,22.18,22.98,24.23,x,x
      Chemical engineers,2125,x,x,,19.33,-12.6,x,x,x,x,x,x,x,x,x,x
      Design and development engineers,2126,63,18.32,5.4,19.34,6.1,12.69,14.31,15.15,15.92,16.99,19.95,21.98,22.81,23.94,26.82
      Production and process engineers,2127,38,16.28,-0.3,17.59,0.9,10.96,12.68,13.44,13.87,15.5,17.32,18.6,20.03,21.24,x
      Planning and quality control engineers,2128,42,16.27,2.1,17.3,1.2,11.12,12.63,13.18,13.81,15.08,17.55,18.83,19.72,21.27,x
      Engineering professionals n.e.c.,2129,121,17.89,0.2,18.99,2.3,11.89,13.6,14.49,15.31,16.29,19.41,21.28,22.24,23.58,27.38
    Information And Communication Technology Professionals,213,391,19.37,0.8,20.78,0.0,11.74,14.37,15.35,16.09,17.79,21.34,23.76,24.93,26.76,31.6
      IT strategy and planning professionals,2131,96,22.21,-5.0,23.58,-4.9,12.15,15.33,16.66,17.88,19.73,24.81,27.78,29.82,31.5,36.43
      Software professionals,2132,295,18.74,1.1,19.87,2.0,11.66,14.14,15.24,15.8,17.3,20.45,22.49,23.77,25.07,29.29
   Health professionals,22,223,26.74,-0.8,31.73,-2.3,14.47,17.3,18.88,20.02,23.13,31.69,38.24,41.64,45.39,55.05
    Health Professionals,221,223,26.74,-0.8,31.73,-2.3,14.47,17.3,18.88,20.02,23.13,31.69,38.24,41.64,45.39,55.05
      Medical practitioners,2211,163,32.6,1.2,35.62,-1.3,16.08,20.07,22.19,23.69,27.29,38.21,43.31,46.6,49.27,58.68
      Psychologists,2212,17,19.81,-0.3,21.76,0.7,11.7,14.15,14.83,16.1,17.14,21.05,25.38,27.33,29.31,x
      Pharmacists/pharmacologists,2213,25,18.83,-4.4,19.64,-5.3,10.97,14.85,15.64,16.77,17.81,19.99,22.37,23.49,23.84,x
      Ophthalmic opticians,2214,5,19.43,-4.6,21.17,0.5,x,x,17.65,17.88,18.44,19.99,x,x,x,x
      Dental practitioners,2215,x,x,,26.72,-9.5,x,x,x,16.35,21.13,28.95,x,x,x,x
      Veterinarians,2216,9,16.25,3.0,18.08,4.5,x,12.44,13.02,14.32,15.67,18.32,19.6,19.94,x,x
   Teaching and research professionals,23,1077,20.84,1.4,21.43,1.0,13.04,15.47,16.39,17.45,18.9,22.34,24.06,25.2,26.42,30.5
    Teaching Professionals,231,960,21.45,1.3,21.96,1.2,13.55,15.98,17.2,18.22,19.65,22.85,24.45,25.62,26.93,31.07
      Higher education teaching professionals,2311,103,24.69,2.5,26.44,2.4,16.42,19.05,20.28,21.85,23.38,26.17,28.04,28.78,30.64,38.34
      Further education teaching professionals,2312,99,18.54,1.9,19.62,2.0,12.87,14.81,15.57,16.19,17.46,19.68,21.4,22.14,23.26,26.32
"      Education officers, school inspectors",2313,12,20.56,-1.0,20.97,0.5,11.71,14.47,15.14,15.86,17.88,22.69,24.02,25.55,x,x
      Secondary education teaching professionals,2314,342,21.98,0.4,22.36,0.7,13.95,16.68,18,18.8,20.63,23.62,25.18,26.05,27.12,30.86
      Primary and nursery education teaching professionals,2315,327,21.14,1.3,21.57,1.6,13.74,16.19,17.24,18.42,19.29,22.31,24.02,25.13,26.6,30.9
      Special needs education teaching professionals,2316,26,21.3,-0.1,21.19,0.1,12.1,14.88,16.08,17.59,19.21,23.07,24.47,26.12,26.69,x
      Registrars and senior administrators of educational establishments,2317,22,18.29,1.5,19.94,-0.2,11.21,12.73,14,14.62,16.8,19.54,21.85,22.5,23.37,x
      Teaching professionals n.e.c.,2319,32,16.09,2.9,16.52,6.3,8.57,11.19,12.32,13.17,14.76,17.64,18.93,19.85,21.21,x
    Research Professionals,232,117,16.6,0.5,17.49,0.6,10.8,13.17,14.02,14.71,15.65,17.68,19.02,19.73,20.95,23.89
      Scientific researchers,2321,33,17.79,2.3,19.56,4.3,11.65,13.93,14.56,15.29,16.6,19.2,21.22,22.43,23.42,x
      Social science researchers,2322,x,11.17,-9.2,13.26,-0.9,x,x,x,x,10.67,12.79,x,x,x,x
      Researchers n.e.c.,2329,80,16.32,-0.3,16.82,-1.1,11.03,13.26,14.1,14.83,15.53,17.34,18.43,19.24,19.94,22.62
   Business and public service professionals,24,610,18.93,1.5,21.92,2.2,11.24,13.61,14.57,15.54,17.26,20.83,23.77,25.55,27.73,35.66
    Legal Professionals,241,113,23.48,-0.3,29.33,2.4,12.91,15.93,17.81,19.15,21.11,27.68,32.83,36.85,40.57,52.25
"      Solicitors and lawyers, judges and coroners",2411,100,24.62,-1.0,30.17,3.1,13.03,16.86,18.34,19.27,21.59,28.53,33.38,37.59,41.04,53.09
      Legal professionals n.e.c.,2419,12,20.02,0.4,22.62,-1.1,11.6,14.01,14.67,15.14,17.76,21.28,x,x,x,x
    Business And Statistical Professionals,242,211,20.33,0.6,23.33,1.9,11.53,14.32,15.48,16.46,18.51,23,26.03,27.76,30.34,38.04
      Chartered and certified accountants,2421,70,19.15,-0.9,20.99,1.4,10.96,13.72,14.72,15.53,17.41,21.57,24.15,25.85,27.76,33.98
      Management accountants,2422,11,19.61,-1.2,21.4,0.4,x,14.48,15.14,16.05,18.3,21.75,24.55,x,x,x
"      Management consultants, actuaries, economists and statisticians",2423,130,20.96,0.5,24.76,1.7,11.78,14.79,15.93,17.13,19.17,24,27,29.6,31.82,40.99
"    Architects, Town Planners, Surveyors",243,120,17.95,-2.7,19.43,-1.8,10.74,13,13.81,14.85,16.38,19.61,21.72,22.92,24.64,28.95
      Architects,2431,30,18.43,-3.2,21.32,0.6,12.65,14.37,15.16,15.65,16.72,20.3,22.57,23.53,25.52,x
      Town planners,2432,11,17.49,-2.0,17.52,-3.8,10.59,13.59,14.36,14.83,16.46,18.83,19.59,20.2,x,x
      Quantity surveyors,2433,24,18.12,-0.9,19.27,3.0,10.24,12.36,12.95,14.23,16.02,20.8,22.36,24.35,25.04,x
      Chartered surveyors (not quantity surveyors),2434,55,17.51,-5.5,18.86,-5.5,10.21,12.37,13.2,14.12,16.18,19.44,21.3,22.62,24.5,x
    Public Service Professionals,244,149,16.83,1.9,17.39,2.5,10.65,12.6,13.61,14.41,15.57,17.93,19.2,20.19,21.27,25.32
      Public service administrative professionals,2441,27,24.4,2.1,24.33,0.2,16.53,18.56,19.59,20.56,22.68,25.72,27.86,28.37,29.46,x
      Social workers,2442,85,16.92,0.9,16.76,1.5,11.52,13.74,14.34,14.87,16.09,17.65,18.64,19.08,19.94,21.62
      Probation officers,2443,11,15.76,1.2,16.62,5.2,x,14.4,14.86,15.27,15.44,17.1,18.08,18.2,x,x
      Clergy,2444,26,11.86,6.0,12.28,4.2,8.38,9.75,10.16,10.57,11.42,12.12,12.73,13.63,14.7,x
    Librarians And Related Professionals,245,19,13.71,-1.5,15.07,1.4,9.1,11.43,11.97,12.28,12.91,15.63,16.87,17.76,18.55,x
      Librarians,2451,12,13.51,-4.9,15.01,1.0,9.56,11.3,11.84,11.99,12.61,15.65,16.81,17.99,x,x
      Archivists and curators,2452,7,13.86,4.7,15.18,1.9,x,11.81,12.21,12.29,13,15.56,16.9,x,x,x
Associate professional and technical occupations,3,2951,14.7,0.0,15.88,-0.4,9.31,11.04,11.78,12.44,13.56,15.98,17.48,18.26,19.26,22.36
   Science and technology associate professionals,31,470,13.61,0.5,14.31,0.0,8.79,10.02,10.71,11.29,12.46,14.7,15.92,16.59,17.47,20.5
    Science And Engineering Technicians,311,258,13.18,1.8,13.77,0.9,8.56,9.63,10.16,10.78,11.88,14.24,15.42,16.08,16.77,19.06
      Laboratory technicians,3111,45,10.74,-3.6,12.37,1.4,8.14,8.75,9.12,9.41,9.98,11.8,13.13,14.09,14.98,x
      Electrical/electronics technicians,3112,10,14.41,1.0,14.44,-2.6,9.26,10.12,10.94,11.49,13.49,15.23,16.17,16.46,x,x
      Engineering technicians,3113,67,15.75,2.7,16.39,3.6,11.41,13.19,13.74,14.05,15.12,16.64,17.41,18.2,18.95,21.7
      Building and civil engineering technicians,3114,9,13.38,1.2,14.32,4.5,x,9.98,11.12,11.84,13.15,15.18,16.14,16.45,x,x
      Quality assurance technicians,3115,15,12.56,-1.8,12.98,-6.0,8.14,9.31,9.91,10.74,11.75,13.43,14.45,14.79,15.18,x
      Science and engineering technicians n.e.c.,3119,113,11.9,2.4,12.71,1.8,8.29,9.29,9.66,10.06,11.09,13.08,14.06,14.64,15.29,17.48
    Draughtspersons And Building Inspectors,312,50,13.69,-0.1,14.22,0.5,9.41,10.77,11.45,11.86,12.7,14.57,15.55,16.16,16.86,x
      Architectural technologists and town planning technicians,3121,16,13.69,1.3,14.13,1.0,8.91,10.36,11.3,11.72,12.76,14.38,15.54,16.5,17.05,x
      Draughtspersons,3122,30,13.3,1.3,13.93,0.6,9.42,10.48,11.22,11.64,12.26,14.38,15.34,15.74,16.31,x
      Building inspectors,3123,5,15.06,-1.1,16.39,0.8,x,x,13.04,x,13.94,16.5,x,x,x,x
    IT Service Delivery Occupations,313,162,14.26,-1.0,15.26,-0.9,9.2,10.73,11.38,12,13.17,15.54,17,17.89,18.98,22.18
      IT operations technicians,3131,98,15.06,-1.6,16.02,-2.7,9.2,11.24,11.95,12.54,13.82,16.33,17.86,18.86,20.11,23.5
      IT user support technicians,3132,63,13.3,1.0,14.1,2.2,9,10.35,10.8,11.32,12.43,14.42,15.6,16.3,17.29,19.88
   Health and social welfare associate professionals,32,799,15.13,0.9,15.54,0.9,10.4,12.05,12.61,13.14,14.13,16.29,17.49,18.03,18.8,20.93
    Health Associate Professionals,321,561,16.01,1.0,16.2,0.8,11.15,12.88,13.44,14.07,14.89,17.16,18.06,18.64,19.56,21.4
      Nurses,3211,449,16,1.2,16.29,1.0,11.9,13.08,13.65,14.13,14.96,16.95,17.88,18.49,19.27,21.2
      Midwives,3212,26,18.4,0.0,18.44,-0.7,13.24,14.71,15.63,16.31,17.51,19.41,20.48,20.97,21.49,x
      Paramedics,3213,18,17.85,1.1,17.89,3.0,14.15,15.25,15.94,16.46,17.65,18.34,18.71,18.96,19.38,x
      Medical radiographers,3214,19,18.86,1.5,18.9,0.8,12.05,14.13,14.55,15.59,17.5,20.15,21.16,22.05,22.79,x
      Chiropodists,3215,5,17.71,4.2,17.08,-0.1,x,x,14.2,14.39,16.75,18.21,18.89,x,x,x
      Dispensing opticians,3216,x,x,,13.87,2.7,x,x,x,x,x,x,x,x,x,x
      Pharmaceutical dispensers,3217,22,8.71,1.1,9.76,0.8,7,7.53,7.73,7.95,8.27,9.01,10.27,10.66,11.58,x
      Medical and dental technicians,3218,19,13.37,-5.8,14.24,-1.5,9.04,9.96,10.5,10.93,11.6,15.08,16.94,17.59,18.14,x
    Therapists,322,57,15.83,-1.4,16.38,-1.2,11.43,13.04,13.4,13.95,14.6,17.15,17.97,19.04,20.17,21.34
      Physiotherapists,3221,25,15.91,2.1,16.38,-2.1,11.61,12.83,13.41,13.97,14.6,16.9,17.68,19.12,20.02,x
      Occupational therapists,3222,16,15.6,-3.0,16.19,0.4,11.6,13.06,13.42,13.81,14.65,17.34,17.86,18.56,19.4,x
      Speech and language therapists,3223,5,15.99,-4.1,16.94,-6.9,x,x,x,14.02,14.93,17.62,x,x,x,x
      Therapists n.e.c.,3229,11,15.73,-3.9,16.43,0.9,10.78,12.44,13.15,13.54,14.56,16.94,18.16,20.52,x,x
    Social Welfare Associate Professionals,323,182,12.78,1.5,13.16,1.3,9,10.38,10.86,11.27,12.1,13.65,14.58,15.1,15.86,17.51
      Youth and community workers,3231,63,12.85,2.9,13.29,3.4,9.32,10.49,11.14,11.52,12.28,13.7,14.36,14.89,15.56,17.7
      Housing and welfare officers,3232,119,12.77,0.6,13.1,0.2,8.92,10.3,10.73,11.15,11.97,13.63,14.63,15.22,15.98,17.47
