Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Directors in consultancy services,1258,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,28,30925,5.8,42156,15.2,21253,x,24605,25272,29700,34931,x,x,x,x
Professional occupations,2,6593,40448,4.8,43725,3.8,19721,27092,29640,32022,36262,44278,49237,52130,55839,67855
" Science, research, engineering and technology professionals",21,1624,45348,5.7,49076,4.6,25998,31719,34371,36709,41157,49957,55624,58887,62996,74737
  Natural and Social Science Professionals,211,111,40909,4.8,44272,6.7,24034,28501,30476,32226,36776,43964,47867,50198,52603,x
   Chemical scientists,2111,14,34909,-3.5,37741,-2.9,x,23444,27151,29824,32222,37402,43837,x,x,x
   Biological scientists,2112,x,34312,5.5,42243,13.6,x,x,27729,28879,30757,x,x,x,x,x
   Biochemists and biomedical scientists,2113,32,43961,7.5,49268,12.0,25655,30320,33433,36382,40922,46606,49714,50688,53104,x
   Physical scientists,2114,x,47289,9.8,50110,14.7,x,x,x,42999,43990,54095,x,x,x,x
   Social and humanities scientists,2115,13,35063,2.5,34136,-3.1,x,x,24727,25152,31153,39344,x,x,x,x
   Natural and social science professionals n.e.c.,2119,33,40857,1.8,44994,4.9,25677,29638,31317,33216,38341,43829,47954,51545,x,x
  Engineering Professionals,212,435,45631,5.4,47560,3.9,27510,33200,35961,37721,41597,49377,53999,56626,59407,68643
   Civil engineers,2121,70,43807,0.0,46894,-5.1,26823,32773,34190,35927,39544,49620,54886,57500,59550,x
   Mechanical engineers,2122,37,42136,3.8,44880,4.8,24066,30270,33148,37557,40706,45268,51219,53655,x,x
   Electrical engineers,2123,45,53356,6.1,57289,10.7,34764,41638,44079,45565,49945,56853,63500,65695,x,x
   Electronics engineers,2124,14,48643,1.2,49221,0.0,x,x,41598,42325,46114,50282,55883,x,x,x
   Production and process engineers,2125,51,43466,5.5,44810,5.3,25616,32857,35172,36697,40199,47120,49705,51491,54201,x
   Aerospace engineers,2126,12,46548,9.4,48932,12.3,x,x,38988,41821,43610,51414,x,x,x,x
   Engineering project managers and project engineers,2127,78,48383,6.4,50640,7.4,29574,35828,38398,40828,46249,52730,58223,61073,63982,x
   Engineering professionals n.e.c.,2129,129,42040,0.9,44238,2.5,x,x,32900,35634,38721,46181,49701,51253,x,x
  Information Technology Professionals,213,886,48053,5.5,52057,4.6,27261,33665,36355,38794,43516,53304,59333,63010,67464,79332
   IT project managers,2131,28,51815,8.8,53230,2.1,29627,38384,40529,43040,48279,59107,62274,64133,x,x
   IT managers,2132,216,50121,2.6,54837,0.9,29315,37076,39912,42131,45902,54997,60795,65354,70196,82689
"   IT business analysts, architects and systems designers",2133,142,50737,2.0,55199,1.8,29753,35964,38661,41217,45776,56303,61497,65323,68259,x
   Programmers and software development professionals ,2134,332,48229,9.3,51714,8.1,26965,32709,35144,37899,43245,54085,59998,63646,68164,x
