Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,21013,21100,,26612,,6185,10662,12613,14428,17676,25054,29849,32676,36056,46673
"Managers, directors and senior officials",1,2064,35735,,51931,,15052,20509,22930,25545,30450,42230,50750,56328,63422,92843
  Corporate managers and directors,11,1697,38126,,55747,,15900,21748,24648,27287,32558,45392,54625,60273,68906,99010
    Chief executives and senior officials,111,63,67742,,119426,,21079,28650,36851,40592,53761,85253,107500,119007,x,x
      Chief executives and senior officials,1115,59,71515,,125610,,22997,35620,39416,43927,56495,91185,109746,124333,x,x
      Elected officers and representatives,1116,x,x,,29306,,x,x,x,x,x,x,x,x,x,x
    Production managers and directors,112,457,38975,,50351,,16754,24336,27323,29945,34496,45000,52099,56767,62841,85535
      Production managers and directors in manufacturing,1121,360,40000,,52100,,16891,25000,27775,30116,34936,45834,54429,59011,64998,89903
      Production managers and directors in construction,1122,92,36192,,43098,,15434,21358,24969,27961,31956,40375,45685,48685,54450,x
      Production managers and directors in mining and energy,1123,x,x,,57025,,x,x,35447,36516,37938,x,x,x,x,x
    Functional managers and directors,113,538,51489,,74008,,20819,29983,33660,36820,43743,60474,72653,82402,92098,128211
      Financial managers and directors,1131,210,52959,,83221,,20555,30000,33595,36981,44081,61273,74361,85267,95189,x
      Marketing and sales directors,1132,130,64515,,85561,,25347,37790,42951,46393,55337,75317,89267,95067,101309,x
      Purchasing managers and directors,1133,37,42146,,51971,,25122,30953,32353,34551,38009,48761,53224,57139,63591,x
      Advertising and public relations directors,1134,7,x,,x,,x,x,x,x,x,x,x,x,x,x
      Human resource managers and directors,1135,77,43011,,54214,,20658,27889,30934,33516,38244,49429,56380,61879,67183,x
      Information technology and telecommunications directors,1136,26,57924,,66177,,x,29330,36100,40795,51015,67089,81566,x,x,x
      Functional managers and directors n.e.c.,1139,53,41426,,54423,,12000,20779,24232,27319,33173,49424,56082,65180,x,x
    Financial institution managers and directors,115,92,42278,,67682,,18555,25701,28314,31167,35682,50972,62846,72366,85433,x
      Financial institution managers and directors,1150,92,42278,,67682,,18555,25701,28314,31167,35682,50972,62846,72366,85433,x
    Managers and directors in transport and logistics,116,143,30652,,35122,,17533,21844,23400,25211,27810,33863,38106,40246,44650,54208
      Managers and directors in transport and distribution,1161,64,33877,,38164,,20143,25124,26294,27925,30758,38110,42501,45418,48097,x
      Managers and directors in storage and warehousing,1162,79,28074,,32676,,16315,20028,21997,22786,25725,31052,34788,36730,39050,x
    Senior officers in protective services,117,29,53306,,52332,,32054,39854,43048,45544,51241,54991,58035,59352,61331,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,16,56903,,59685,,51462,52558,53682,54228,55239,58963,61309,62550,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,12,42109,,42548,,x,32518,34615,36664,39822,44975,45990,48873,x,x
    Health and social services managers and directors,118,61,40959,,46459,,21990,28819,31417,33514,36683,45652,51013,53661,55985,x
      Health services and public health managers and directors,1181,46,42827,,48636,,21818,29131,31852,34164,38399,46983,53169,55452,58434,x
      Social services managers and directors,1184,15,36219,,39654,,22804,27244,30404,31402,34459,39733,42459,44426,x,x
    Managers and directors in retail and wholesale,119,314,22311,,27615,,12000,15243,16235,17418,19705,25544,29467,31315,34249,45679
      Managers and directors in retail and wholesale,1190,314,22311,,27615,,12000,15243,16235,17418,19705,25544,29467,31315,34249,45679
  Other managers and proprietors,12,367,27290,,34291,,12833,17130,18697,20322,23632,31000,36000,39119,43177,56518
    Managers and proprietors in agriculture related services,121,15,28073,,32586,,x,19676,20629,22037,24515,30690,34220,x,x,x
      Managers and proprietors in agriculture and horticulture,1211,12,27523,,31778,,x,20000,20714,22157,24781,29924,34064,x,x,x
"      Managers and proprietors in forestry, fishing and related services",1213,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Managers and proprietors in hospitality and leisure services,122,109,22082,,27837,,11686,15000,16761,17905,20021,25124,28634,30640,35278,x
      Hotel and accommodation managers and proprietors,1221,20,26460,,34065,,12000,15100,16783,17823,21193,29111,35339,x,x,x
      Restaurant and catering establishment managers and proprietors,1223,36,20002,,22359,,9935,12678,14149,15098,18008,22011,24350,25962,28234,x
      Publicans and managers of licensed premises,1224,9,20132,,22791,,x,x,14017,16397,17974,21334,x,x,x,x
      Leisure and sports managers,1225,39,24026,,28968,,14187,17021,18173,18994,21415,26970,29817,32407,x,x
      Travel agency managers and proprietors,1226,6,28129,,40059,,x,17642,19598,20762,22596,x,x,x,x,x
    Managers and proprietors in health and care services,124,65,27485,,28246,,13536,18358,20057,21571,24142,30007,33407,35103,36129,x
      Health care practice managers,1241,14,27507,,29478,,x,20524,22091,22850,24852,31528,33899,35157,x,x
"      Residential, day and domiciliary  care managers and proprietors",1242,51,27464,,27904,,13476,18109,19372,21249,23955,29881,33000,35073,36198,x
    Managers and proprietors in other services,125,178,31219,,40576,,13453,18247,20367,22542,26850,35981,42560,46268,51061,x
"      Property, housing and estate managers",1251,79,33971,,40276,,15000,19727,23598,25255,30000,37837,44160,48022,52021,x
      Garage managers and proprietors,1252,9,29499,,32321,,x,20081,22639,23441,26459,31404,x,x,x,x
