Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,17421,12.64,,15.42,,7.04,8.36,8.97,9.58,11,14.56,17.04,18.57,20.43,26.63
"Managers, directors and senior officials",1,2096,18.89,,23.98,,8.73,11.16,12.38,13.51,16.05,22.16,26.63,29.38,33.33,45.67
  Corporate managers and directors,11,1736,20.16,,25.44,,9.12,11.88,13.12,14.37,17.21,23.79,28.37,31.57,35.74,48.37
    Chief executives and senior officials,111,64,37.91,,46.83,,11.39,18.5,21.12,23.46,30.85,44.7,55.28,60.13,68.65,x
      Chief executives and senior officials,1115,61,39.57,,48.48,,12.57,19.68,22.02,24.69,32.63,46.41,56.96,62.9,70.3,x
      Elected officers and representatives,1116,x,x,,17.45,,x,x,x,x,11.2,x,x,x,x,x
    Production managers and directors,112,469,19.72,,23.62,,10,13.06,14.15,15.33,17.45,22.58,26.72,28.75,31.83,42.17
      Production managers and directors in manufacturing,1121,370,20.42,,24.45,,10.17,13.3,14.37,15.54,17.91,23.66,27.57,29.83,33.38,43.52
      Production managers and directors in construction,1122,93,17.88,,20.21,,9.57,12.23,13.11,14.14,16.16,19.46,22.11,23.63,26.85,33.27
      Production managers and directors in mining and energy,1123,6,19.57,,26.85,,x,16.52,18.18,18.58,18.96,21.34,x,x,x,x
    Functional managers and directors,113,556,27.7,,32.94,,13.11,17.09,18.82,20.44,23.93,32.02,37.69,40.81,44.52,57.76
      Financial managers and directors,1131,214,28.33,,35.29,,13.32,17.89,19.58,20.98,24.61,33.64,39.4,42.89,47.53,65.64
      Marketing and sales directors,1132,139,32.45,,36.04,,14.89,20.04,21.6,23.96,28.09,36.53,41.29,44.36,47.73,63.14
      Purchasing managers and directors,1133,38,21.58,,24.48,,13.14,15.85,16.85,17.76,19.25,23.93,26.81,28.57,30.61,x
      Advertising and public relations directors,1134,7,35.16,,41.95,,x,x,24,27.28,31.74,37.59,x,x,x,x
      Human resource managers and directors,1135,78,23.19,,27.25,,12.94,15.77,17.11,18.21,20.62,26.48,30.39,32.29,34.65,46.68
      Information technology and telecommunications directors,1136,28,31.53,,33.96,,11.03,18.4,21.86,23.24,28.39,37.16,39.74,41.79,46.14,x
      Functional managers and directors n.e.c.,1139,52,24.31,,27.98,,10.51,13.48,15.1,16.27,19.38,28.34,33.02,38.3,43.24,x
    Financial institution managers and directors,115,98,23.74,,32.23,,11.43,14.72,16.04,17.25,19.33,29.38,34.13,38.38,44.62,x
      Financial institution managers and directors,1150,98,23.74,,32.23,,11.43,14.72,16.04,17.25,19.33,29.38,34.13,38.38,44.62,x
    Managers and directors in transport and logistics,116,148,14.41,,16.55,,8.64,10.24,10.96,11.65,13.05,16.32,18.42,19.88,21.84,26.18
      Managers and directors in transport and distribution,1161,64,16.34,,18.07,,9.78,11.33,12.46,13.19,14.51,18.26,20.57,22.24,23.6,x
      Managers and directors in storage and warehousing,1162,84,13.21,,15.36,,8.25,9.58,10.18,10.81,11.99,14.64,16.77,18.02,19.47,x
    Senior officers in protective services,117,28,25.43,,26.08,,15.99,20.34,21.03,22.11,24.57,26.42,28.07,29.35,29.96,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,17,27.14,,30.01,,23.72,25.08,25.14,25.68,26.3,29.02,29.92,30.84,34.57,x
"      Senior officers in fire, ambulance, prison and related services",1173,11,20.7,,20.69,,13.85,15.21,16.13,16.55,19.07,21.59,22.35,23.41,x,x
    Health and social services managers and directors,118,61,22.19,,25.12,,13.55,17.07,17.85,18.88,20.54,24.18,27.28,28.18,30.07,x
      Health services and public health managers and directors,1181,46,23.37,,26.08,,13.18,17.35,17.97,19.36,21.34,25.55,27.9,28.9,32.12,x
      Social services managers and directors,1184,14,20.4,,21.99,,13.74,16.14,17.25,17.96,19.09,21.06,23.68,24.94,x,x
    Managers and directors in retail and wholesale,119,314,11.37,,13.88,,7.12,7.95,8.42,8.88,10.06,12.8,14.6,15.74,17.47,22.73
      Managers and directors in retail and wholesale,1190,314,11.37,,13.88,,7.12,7.95,8.42,8.88,10.06,12.8,14.6,15.74,17.47,22.73
