Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
Professional occupations,2,4666,41141,1.9,46053,1.2,25938,30615,32551,34344,37890,44734,49399,52070,55472,68295
"  Science, research, engineering and technology professionals",21,1312,43105,-0.9,47781,1.2,26860,31730,33981,36162,39578,47514,52243,55114,58850,70394
    Natural and social science professionals,211,114,38437,3.6,42326,4.7,25626,29631,32040,33300,36662,40283,43564,45296,47954,x
      Chemical scientists,2111,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Biological scientists and biochemists,2112,43,38956,4.2,42993,2.9,24644,28015,30618,32993,37039,41720,45765,47065,50435,x
      Physical scientists,2113,x,38773,-6.6,39099,-12.8,x,x,32638,35236,37510,41235,43939,x,x,x
      Social and humanities scientists,2114,x,32277,9.6,34214,3.3,x,x,x,29088,31186,x,x,x,x,x
      Natural and social science professionals n.e.c.,2119,41,38471,3.4,40323,-0.9,28449,32729,34621,35173,37033,40193,42747,44090,46357,x
    Engineering professionals,212,388,42697,-1.7,45668,0.8,27058,31815,33810,36112,39193,46411,50521,52970,55602,64077
      Civil engineers,2121,47,42530,-1.8,51571,14.3,28007,31934,34679,37091,39050,46208,50561,53226,56161,x
      Mechanical engineers,2122,27,41167,-3.7,45528,-4.6,27103,31502,32950,34738,38384,47220,50651,52102,x,x
      Electrical engineers,2123,29,50354,-3.3,52930,-0.8,25417,36693,39272,43957,46319,54972,59807,61532,x,x
      Electronics engineers,2124,x,49367,12.6,48933,15.1,x,x,x,x,x,x,x,x,x,x
      Design and development engineers,2126,86,40827,-2.3,43840,-1.4,x,32202,34094,36003,38183,44996,49210,50879,x,x
      Production and process engineers,2127,48,40790,2.4,41986,-0.7,25992,30788,31981,34622,37531,42772,46438,48186,x,x
      Engineering professionals n.e.c.,2129,147,43165,-1.8,44522,-1.6,25906,31609,33382,35734,40047,46899,50508,52886,55867,64404
    Information technology and telecommunications professionals,213,726,44977,0.2,49797,0.7,27185,32303,34544,36872,40660,49805,55000,58496,62258,74885
      IT specialist managers,2133,187,48053,-5.3,53525,-4.7,x,34889,37902,40195,44175,53058,60001,62838,66904,x
      IT project and programme managers,2134,27,50343,1.9,60463,17.2,32763,37952,39130,40782,44658,54700,59867,66254,x,x
"      IT business analysts, architects and systems designers",2135,126,49510,-2.6,53273,-4.2,29225,35468,37625,40000,43928,53932,60948,63744,67516,x
      Programmers and software development professionals,2136,227,44024,0.1,47977,1.1,27340,31457,33962,36349,40000,48538,52250,55511,58978,x
      Web design and development professionals,2137,43,33490,4.9,33409,3.6,21961,24776,26783,28021,31437,35116,37457,38258,40060,x
      Information technology and telecommunications professionals n.e.c.,2139,116,42091,9.0,47101,7.6,25518,30528,32127,34212,38421,47600,52774,55335,58276,x
    Conservation and environment professionals,214,31,32866,-7.9,37349,-0.3,22392,24397,26683,27831,31006,37539,39676,41991,x,x
      Conservation professionals,2141,11,31215,-1.8,32706,-4.9,x,23087,24916,26796,28048,32669,x,x,x,x
      Environment professionals,2142,20,35782,-2.2,39930,4.2,x,24835,26822,29545,32338,39512,43373,x,x,x
    Research and development managers ,215,53,48623,-0.8,53525,-0.9,30114,x,38112,40111,44563,53236,x,x,x,x
      Research and development managers,2150,53,48623,-0.8,53525,-0.9,30114,x,38112,40111,44563,53236,x,x,x,x
  Health professionals,22,896,38690,4.7,43960,1.9,24907,29727,31186,32625,35363,41924,45778,48199,51398,66273
    Health professionals,221,276,49184,0.2,59647,-0.8,27436,34030,37453,39914,44602,53957,63304,72057,78785,111923
      Medical practitioners,2211,146,64504,2.3,74588,2.1,31494,43991,46398,49998,56017,74923,89275,97383,105304,130913
      Psychologists,2212,16,44468,-0.7,46571,2.3,x,28569,30196,31320,39039,48499,51992,x,x,x
      Pharmacists,2213,39,43847,-0.7,43309,-0.6,23411,32927,35282,37101,40886,46725,48876,50271,51626,x
      Ophthalmic opticians,2214,x,42453,-4.4,45529,1.0,x,x,x,36000,40240,x,x,x,x,x
      Dental practitioners,2215,x,x,,59669,-14.4,x,x,x,x,x,x,x,x,x,x
      Veterinarians,2216,14,40052,2.1,40450,4.2,x,32780,33712,35342,37197,40831,44028,x,x,x
      Medical radiographers,2217,18,41495,11.2,41875,9.6,x,33687,34939,36161,38890,44875,48918,49863,x,x
      Podiatrists,2218,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Health professionals n.e.c.,2219,30,36956,0.5,38527,-3.1,24362,26985,28942,30553,33152,39132,42133,43801,x,x
    Therapy professionals,222,75,34164,3.0,35696,5.1,24478,26789,28224,29930,32811,37103,40356,42042,43613,x
      Physiotherapists,2221,37,35353,5.6,37423,6.5,24337,27368,29522,31413,33365,39251,42555,44503,46016,x
      Occupational therapists,2222,21,33680,3.6,33440,0.0,23149,25989,26867,27864,31671,35487,37890,39117,x,x
      Speech and language therapists,2223,x,32923,8.5,35090,10.5,x,x,27389,30467,31934,35063,x,x,x,x
      Therapy professionals n.e.c.,2229,10,32951,0.3,34579,6.3,x,x,29405,30825,31365,35454,39609,x,x,x
    Nursing and midwifery professionals,223,545,36239,6.1,37141,6.2,24225,28952,30318,31311,33715,38898,41651,43474,45102,50951
      Nurses,2231,524,35971,5.7,37032,6.3,24157,28815,30231,31172,33615,38554,41453,43236,44990,50987
      Midwives,2232,20,41264,6.7,39938,4.1,x,31374,35545,37279,40112,42623,45074,46669,x,x
  Teaching and educational professionals,23,1186,40712,2.0,42089,1.3,26178,30288,32468,34158,37508,42971,46029,48079,50848,59230
    Teaching and educational professionals,231,1186,40712,2.0,42089,1.3,26178,30288,32468,34158,37508,42971,46029,48079,50848,59230
      Higher education teaching professionals,2311,116,51034,-0.1,55259,-1.8,31978,38678,41241,43785,46802,54307,59150,63576,66537,x
      Further education teaching professionals,2312,93,37319,0.8,38378,1.6,25949,29947,31292,32804,35318,39834,42865,44907,47364,x
      Secondary education teaching professionals,2314,431,41412,1.6,41209,0.5,27600,31318,33062,35253,38898,43534,46011,47574,49512,54242
      Primary and nursery education teaching professionals,2315,373,38010,3.4,38020,3.3,26255,29477,30960,32913,35860,40707,42001,43489,45087,50481
      Special needs education teaching professionals,2316,29,34097,2.7,34556,3.0,17879,21765,25623,28415,31866,38462,41510,43363,44935,x
      Senior professionals of educational establishments,2317,83,59841,5.9,61075,6.3,33206,41924,45413,47340,54131,63647,67168,69567,72208,x
      Education advisers and school inspectors,2318,11,39711,-3.3,43847,3.1,x,28208,29624,32444,37122,41656,x,x,x,x
      Teaching and other educational professionals n.e.c.,2319,52,27582,2.6,29327,0.6,16651,20780,22384,23228,25028,30248,33794,35859,37651,x
"  Business, media and public service professionals",24,1272,42228,1.5,49440,0.9,25837,30786,32641,34658,38410,46403,52339,55437,60182,76654
    Legal professionals,241,123,51561,1.0,68100,1.1,26935,34978,37021,40667,45738,61606,72048,81338,92256,x
      Barristers and judges,2412,x,x,,42381,-3.8,x,x,x,33971,35583,x,x,x,x,x
      Solicitors,2413,72,44355,3.1,55166,4.2,23954,30050,33678,35409,40000,49140,56394,62428,x,x
      Legal professionals n.e.c.,2419,45,76522,-1.4,92606,0.0,41107,49853,52077,57528,64739,87116,102195,112792,x,x
"    Business, research and administrative professionals",242,619,44918,0.5,50572,-1.6,27148,32000,34246,36500,40574,50183,55218,59136,64308,78713
      Chartered and certified accountants,2421,75,41321,-2.3,44914,-3.1,24169,30000,x,34633,38275,45071,49838,51818,x,x
      Management consultants and business analysts,2423,143,42690,0.3,47560,-2.1,25646,30376,31997,34312,38457,46711,53761,57040,60705,x
      Business and financial project management professionals,2424,254,51009,1.0,56550,-2.1,28687,36422,39118,41313,46036,56284,64614,68450,74054,89012
"      Actuaries, economists and statisticians",2425,27,48952,6.7,64118,-8.2,28426,32155,33631,37495,42518,53519,61165,x,x,x
      Business and related research professionals,2426,76,36219,2.7,37870,1.0,26774,30030,31127,31850,33797,38138,40322,41478,43297,x
"      Business, research and administrative professionals n.e.c.",2429,45,50787,2.9,49132,6.1,30745,34337,37461,40593,46249,53489,56371,57846,60710,x
"    Architects, town planners and surveyors",243,175,40186,-1.6,43886,-2.2,25559,29998,31353,32833,37129,44650,48694,51882,55770,x
      Architects,2431,40,43000,0.1,46705,-3.3,28170,31978,32886,34792,39957,45838,49103,51734,x,x
      Town planning officers,2432,x,37040,11.5,37538,11.0,x,x,x,x,33247,39754,x,x,x,x
      Quantity surveyors,2433,40,45063,-0.1,46751,-5.7,22342,29167,31057,33650,39136,49835,56920,59317,x,x
