Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Betting shop and gambling establishment managers,1256,x,19478,,20559,,x,x,x,x,x,x,x,x,x,x
   Hire services managers and proprietors,1257,x,x,,35820,,x,x,x,x,x,x,x,x,x,x
   Directors in consultancy services,1258,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,28,29734,,37536,,18238,19467,21435,22340,25695,34659,41040,x,x,x
Professional occupations,2,5109,40737,,45829,,25154,30025,31892,33758,37279,44252,48856,51631,55000,67996
" Science, research, engineering and technology professionals",21,1388,42405,,47132,,25963,30904,32969,35162,38760,46706,51514,54553,58355,69967
  Natural and Social Science Professionals,211,101,38054,,42432,,24360,28498,30596,32300,35295,40867,43648,45887,48440,x
   Chemical scientists,2111,x,x,,x,,x,27418,27957,x,x,x,x,x,x,x
   Biological scientists,2112,14,38755,,40686,,x,27335,29684,30756,32800,40797,x,x,x,x
   Biochemists and biomedical scientists,2113,30,38735,,43021,,24139,27947,30073,32541,36615,41320,44847,46674,48841,x
   Physical scientists,2114,x,40167,,39720,,x,x,x,34587,38162,43032,x,x,x,x
   Social and humanities scientists,2115,x,32789,,34917,,x,x,28569,29652,31802,36834,x,x,x,x
   Natural and social science professionals n.e.c.,2119,25,39539,,41868,,28099,32067,33868,34809,36856,42317,43833,46333,x,x
  Engineering Professionals,212,372,42437,,45290,,26858,31486,33378,35877,39073,46039,50054,52232,54947,62958
   Civil engineers,2121,57,42121,,49628,,27389,31093,32347,35439,38652,44695,49493,52688,53967,x
   Mechanical engineers,2122,x,40580,,43878,,28011,33897,35696,36830,39194,43944,x,x,x,x
   Electrical engineers,2123,38,49143,,50710,,25353,36324,38675,41425,44741,52442,55423,59601,x,x
   Electronics engineers,2124,x,50510,,49483,,x,x,x,x,x,x,x,x,x,x
   Production and process engineers,2125,56,41402,,42381,,24375,30367,31878,34265,37549,43158,46591,48462,51145,x
   Aerospace engineers,2126,24,40858,,42116,,x,32237,33600,35770,38692,44758,45881,48868,x,x
   Engineering project managers and project engineers,2127,82,43268,,44963,,25522,30978,34609,36383,40359,47171,50735,54815,57110,x
   Engineering professionals n.e.c.,2129,83,40211,,43264,,x,30884,32305,33756,36875,44647,49288,51364,x,x
  Information Technology Professionals,213,755,45000,,49890,,27425,32490,34710,36931,40687,49745,55005,58619,62338,75000
   IT project managers,2131,32,47740,,54719,,29979,36094,37696,38538,42178,51584,59290,62567,x,x
   IT managers,2132,212,47282,,52927,,28159,34047,37025,39634,43064,52399,58848,62188,66576,x
"   IT business analysts, architects and systems designers",2133,128,49512,,53835,,29637,35988,37890,40056,44148,54942,61284,64009,67924,x
   Programmers and software development professionals ,2134,273,42592,,47430,,27071,31330,33366,35484,39000,47272,51746,55000,58792,x
   Cyber security professionals,2135,x,49836,,49901,,x,x,33470,34563,40082,52125,x,x,x,x
   IT quality and testing professionals,2136,x,38649,,38272,,x,x,x,31145,35243,41047,x,x,x,x
   IT network professionals,2137,18,39170,,42678,,x,30553,31708,34001,36565,42921,46652,x,x,x
   Information technology professionals n.e.c.,2139,71,38808,,44367,,24701,29652,30923,32518,35660,43519,49893,52798,55058,x
  Web and Multimedia Design Professionals,214,39,26797,,30717,,19781,21604,23071,23862,25000,28334,31030,32472,x,x
   Web design professionals,2141,x,33574,,34112,,x,x,x,x,x,x,x,x,x,x
   Graphic and multimedia designers,2142,33,26000,,30115,,20132,21438,22425,23754,25000,28094,30196,31022,x,x
  Conservation and Environment Professionals,215,48,32518,,35999,,21716,24070,25723,26890,30246,35549,38918,39972,43811,x
   Conservation professionals,2151,11,30506,,32543,,x,23086,23806,24660,27031,33056,x,x,x,x
   Environment professionals,2152,38,32887,,36985,,21498,24533,26280,27115,30620,36055,39506,43335,x,x
  Research and Development (R&D) and Other Research Professionals,216,73,44162,,50540,,28487,34231,x,37037,40000,48393,53744,57270,60895,x
   Research and development (R&D) managers ,2161,55,47755,,54364,,28488,x,36928,39644,44010,52610,58240,61330,x,x
"   Other researchers, unspecified discipline",2162,18,37486,,38900,,x,32570,34350,35313,36466,39061,40196,41340,x,x
 Health professionals,22,934,38666,,43911,,24697,29576,31029,32542,35363,41998,45839,48214,51393,66261
  Medical Practitioners,221,154,63627,,74141,,30120,42170,45144,48924,55129,74743,89262,97536,105352,129597
   Generalist medical practitioners,2211,44,50901,,54414,,26678,38089,42937,44599,47914,54718,63649,66855,71435,x
   Specialist medical practitioners,2212,110,75114,,81951,,31824,44304,48415,53629,62489,86686,101795,111419,118549,x
  Therapy Professionals,222,96,34854,,37269,,24180,26501,28017,29775,32523,38530,41874,43734,45710,x
   Physiotherapists,2221,38,35169,,37145,,24356,26804,29384,30613,33351,38943,42279,44308,45709,x
   Occupational therapists,2222,22,33676,,33408,,23014,25892,26832,27669,31624,35531,38161,39375,x,x
   Speech and language therapists,2223,8,32664,,34653,,x,x,26489,27865,31552,35030,x,x,x,x
   Psychotherapists and cognitive behaviour therapists,2224,x,35396,,35268,,x,x,x,x,x,x,x,x,x,x
   Clinical psychologists,2225,x,45260,,45699,,x,x,x,x,40163,x,x,x,x,x
   Other psychologists,2226,11,40558,,46460,,x,27080,28536,28813,31659,49933,x,x,x,x
   Therapy professionals n.e.c.,2229,x,31365,,32876,,x,x,x,25516,30768,32228,x,x,x,x
  Nursing Professionals,223,542,36098,,37055,,23816,28665,30102,31053,33629,38694,41537,43409,45079,50728
   Midwifery nurses,2231,20,41188,,39883,,x,30818,34402,37194,40091,42634,45075,46685,x,x
   Community nurses,2232,41,33603,,33102,,23837,26612,27719,29143,31557,35327,37983,39177,39772,x
   Specialist nurses,2233,38,38211,,38937,,26947,31355,32506,33269,34886,40501,44024,44697,46099,x
   Nurse practitioners,2234,46,40391,,39720,,24136,28972,30728,32019,36903,43203,45155,46958,48557,x
   Mental health nurses,2235,12,35937,,39154,,x,31020,31569,32728,33911,40421,x,x,x,x
   Children's nurses,2236,8,32613,,32822,,x,x,x,25215,29366,33621,41058,x,x,x
   Other nursing professionals ,2237,377,35601,,36852,,23659,28440,29925,30879,33176,38037,41165,42811,44850,50250
  Veterinarians,224,15,40256,,40778,,x,33132,34193,35487,38232,41947,44186,44844,x,x
   Veterinarians,2240,15,40256,,40778,,x,33132,34193,35487,38232,41947,44186,44844,x,x
  Other Health Professionals,225,128,41425,,41863,,x,x,x,x,38055,44538,x,x,x,x
   Pharmacists,2251,38,44586,,43949,,24062,34434,36137,37845,41772,47248,48928,50420,51966,x
   Optometrists,2252,x,42476,,45973,,x,x,x,x,40297,x,x,x,x,x
   Dental practitioners,2253,x,49954,,55637,,x,x,x,x,x,x,x,x,x,x
   Medical radiographers,2254,19,40663,,41515,,x,33387,34676,35737,38890,44805,48789,49668,x,x
   Paramedics,2255,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Podiatrists,2256,x,32001,,34764,,x,x,x,x,x,x,x,x,x,x
   Other health professionals n.e.c.,2259,37,37224,,38015,,23215,26225,28617,30527,33541,39094,41802,43410,45986,x
 Teaching and other educational professionals,23,1228,40396,,41725,,25617,29800,31882,33783,36961,42780,45872,47956,50616,59135
  Teaching Professionals,231,1104,39990,,40642,,25978,30022,31922,33720,36784,42138,45150,46588,49133,55477
   Higher education teaching professionals,2311,142,48402,,52043,,29489,35046,37970,39762,44493,52054,56132,59144,64094,x
   Further education teaching professionals,2312,76,36792,,38269,,25902,29402,30795,32259,35003,39201,42251,44394,46412,x
   Secondary education teaching professionals,2313,446,41326,,40973,,26595,30933,32849,34744,38614,43492,46005,47586,49554,54271
   Primary education teaching professionals,2314,376,37831,,37832,,26147,29307,30790,32860,35582,40544,41925,43383,45046,50429
   Nursery education teaching professionals,2315,x,x,,32314,,x,x,x,20080,24829,x,x,x,x,x
   Special needs education teaching professionals,2316,31,33837,,34011,,17354,21536,24978,27056,31157,38348,41183,42184,44811,x
   Teachers of English as a foreign language,2317,x,25924,,29710,,x,x,x,x,x,x,x,x,x,x
   Teaching professionals n.e.c.,2319,23,28086,,30257,,16471,22638,23678,25489,27041,32150,35556,36961,x,x
  Other Educational Professionals,232,125,47644,,51324,,22134,27044,30590,35020,41058,54973,62885,65397,67585,x
   Head teachers and principals,2321,43,66054,,72544,,47604,56062,58761,60550,64062,69288,72377,73603,77795,x
   Education managers ,2322,x,41134,,43799,,24509,27348,28510,32841,36751,x,x,x,x,x
   Education advisers and school inspectors,2323,10,33633,,36754,,x,24677,26382,27829,30212,36363,x,x,x,x
   Early education and childcare services managers,2324,18,23510,,24498,,x,17736,18583,19486,22005,24894,25608,26303,x,x
   Other educational professionals n.e.c,2329,27,44973,,48065,,26194,32930,35654,38150,40399,48692,53592,57680,64231,x
" Business, media and public service professionals",24,1559,41014,,49053,,24657,29854,31557,33600,37371,45198,51020,54131,58848,75007
  Legal Professionals,241,152,45230,,61154,,21697,27194,30723,34344,39600,52411,65375,76186,85526,x
   Barristers and judges,2411,x,x,,42799,,x,x,x,x,x,x,x,x,x,x
   Solicitors and lawyers,2412,100,51000,,65119,,26650,34488,36183,39168,44022,59457,70330,80836,92192,x
   Legal professionals n.e.c.,2419,40,32076,,56419,,18491,21304,22892,23958,28028,x,x,x,x,x
  Finance Professionals,242,226,38830,,52907,,23912,28171,30273,32055,35624,43023,48672,51490,54550,x
   Chartered and certified accountants,2421,79,41513,,45089,,24376,29954,x,34818,38326,45009,49944,51885,x,x
   Finance and investment analysts and advisers,2422,128,36208,,57948,,22611,26463,28367,30214,33897,39554,46005,49537,53309,x
   Taxation experts,2423,19,44171,,51485,,x,32595,34836,35445,38503,50068,x,x,x,x
"  Business, Research and Administrative Professionals",243,401,41809,,47414,,26563,30759,32193,34071,37877,46149,52551,55704,59598,72065
   Management consultants and business analysts,2431,168,42631,,48094,,25509,30241,32107,34181,38317,47106,54575,58115,61629,x
   Marketing and commercial managers,2432,76,45314,,49728,,27007,32017,34852,37443,41225,50255,56442,59273,64093,x
"   Actuaries, economists and statisticians",2433,23,47838,,58654,,x,32341,33960,37901,42717,52237,58988,x,x,x
   Business and related research professionals,2434,87,35353,,38315,,25951,29209,30460,31219,33649,37991,40153,41468,43296,x
   Professional/Chartered company secretaries ,2435,x,x,,57292,,x,x,x,x,x,x,x,x,x,x
"   Business, research and administrative professionals n.e.c.",2439,44,49567,,52353,,30175,34747,37647,40014,46186,53741,57584,59387,63649,x
  Business and Financial Project Management Professionals,244,244,48811,,53633,,28167,35614,38096,40454,44585,53417,59574,64637,68920,x
   Business and financial project management professionals,2440,244,48811,,53633,,28167,35614,38096,40454,44585,53417,59574,64637,68920,x
"  Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",245,172,39959,,42845,,25495,29694,30987,32329,35905,43375,47999,49992,54258,x
   Architects,2451,38,41993,,44607,,27675,31043,32565,34422,38455,44515,47755,49108,x,x
"   Chartered architectural technologists, planning officers and consultants",2452,x,31543,,35642,,x,x,27762,28812,30241,34179,x,x,x,x
   Quantity surveyors,2453,41,45092,,46991,,22161,29169,31069,33734,39148,50113,57128,59379,60775,x
   Chartered surveyors,2454,64,38641,,40789,,25704,29934,31270,32104,35269,41266,x,x,x,x
   Construction project managers and related professionals,2455,20,37468,,40789,,x,28038,29226,30249,33452,40004,43646,x,x,x
  Welfare Professionals,246,124,36717,,36323,,23624,28501,30607,31693,34068,38621,40643,42209,43455,47022
   Social workers,2461,88,37890,,38184,,26894,31749,33024,33914,36068,39438,41924,43106,44577,x
   Probation officers,2462,10,37577,,35416,,x,x,30958,31897,33825,38599,38929,x,x,x
   Clergy,2463,16,27563,,28881,,x,21930,22996,23908,25547,28874,31453,x,x,x
   Youth work professionals,2464,x,32403,,34051,,x,x,x,x,x,x,x,x,x,x
   Welfare professionals n.e.c.,2469,x,28574,,32584,,x,x,x,25071,26739,35620,x,x,x,x
  Librarians and Related Professionals,247,15,28291,,31980,,x,23555,24721,25598,26605,32257,34822,x,x,x
   Librarians,2471,x,27608,,32192,,x,x,22457,23493,25608,30232,x,x,x,x
   Archivists and curators,2472,x,28346,,31671,,x,x,x,x,27313,32757,x,x,x,x
  Quality and Regulatory Professionals,248,159,40000,,51024,,24216,29725,31439,33005,36868,43858,48749,51592,54770,x
   Quality control and planning engineers,2481,55,38258,,38923,,24004,28498,29734,31280,33890,41004,43897,45786,48469,x
   Quality assurance and regulatory professionals,2482,93,42109,,x,,24233,30284,32235,34757,38494,48285,53610,56643,61541,x
   Environmental health professionals,2483,11,38179,,41504,,x,32036,32663,35588,36866,40598,x,x,x,x
  Media Professionals,249,66,34839,,39989,,x,25890,27884,29392,31647,38679,43820,47045,x,x
   Newspaper and periodical editors,2491,11,38086,,45733,,x,27538,30942,31508,35400,42504,x,x,x,x
   Newspaper and periodical journalists and reporters,2492,x,29894,,33881,,x,x,x,x,26710,x,x,x,x,x
   Public relations professionals,2493,25,31199,,34076,,20921,24169,25157,27399,29716,34257,36662,39460,x,x
   Advertising accounts managers and creative directors,2494,x,x,,45102,,x,x,x,x,x,x,x,x,x,x
Associate professional occupations,3,2992,31691,,37408,,20075,23390,24880,26227,28840,35000,39482,41929,45023,55200
" Science, engineering and technology associate professionals",31,638,29462,,31861,,19642,22292,23756,24982,27121,31887,34852,36694,39127,46507
"  Science, Engineering and Production Technicians",311,353,29023,,31616,,19384,22037,23379,24492,26584,31576,34829,36599,38936,46736
   Laboratory technicians,3111,39,22695,,26088,,17286,18344,19210,19931,21362,24030,25489,26624,x,x
   Electrical and electronics technicians ,3112,10,34306,,34744,,x,23454,26822,27915,32886,36873,38336,x,x,x
   Engineering technicians ,3113,60,36264,,39410,,23644,27487,29692,30848,32973,38817,42592,44975,46795,x
   Building and civil engineering technicians ,3114,x,30249,,33827,,x,x,x,x,28103,x,x,x,x,x
   Quality assurance technicians ,3115,23,27259,,28147,,20185,22493,23680,24169,25307,28206,30073,30965,x,x
"   Planning, process and production technicians",3116,44,31218,,34002,,22931,25595,26471,27845,29007,33935,36594,38474,41770,x
"   Science, engineering and production technicians n.e.c.",3119,171,27720,,29722,,18845,21528,22324,23609,25824,30289,32917,34750,36513,42966
"  CAD, Drawing and Architectural Technicians",312,43,30100,,32247,,23107,25707,26416,27224,28665,31583,33995,34814,36602,x
"   CAD, drawing and architectural technicians",3120,43,30100,,32247,,23107,25707,26416,27224,28665,31583,33995,34814,36602,x
  Information Technology Technicians,313,241,29677,,32149,,19664,22219,23813,25213,27410,32237,35133,37189,39521,46216
   IT operations technicians,3131,67,29888,,31891,,19428,21854,23080,25207,27214,32589,35688,37960,40067,x
   IT user support technicians,3132,153,29574,,31966,,19800,22371,24074,25112,27389,32220,35086,36998,39227,45475
   Database administrators and web content technicians,3133,21,29709,,34336,,x,22133,24427,25581,28050,32036,33976,x,x,x
 Health and social care associate professionals,32,389,24306,,25226,,16324,18614,19742,20714,22466,26028,27696,28799,29929,33492
  Health Associate Professionals,321,42,24884,,27351,,19055,20226,21522,22033,23104,26022,27844,29860,30971,x
   Dispensing opticians,3211,x,25667,,26149,,x,x,x,x,24532,26276,x,x,x,x
   Pharmaceutical technicians,3212,15,25304,,26966,,x,20968,21963,22479,24262,26689,27489,x,x,x
   Medical and dental technicians,3213,19,24212,,28442,,19265,20157,21353,21742,22577,25602,28807,30303,x,x
   Complementary health associate professionals,3214,..,,,,,,,,,,,,,,
   Health associate professionals n.e.c.,3219,x,19737,,23608,,x,x,x,x,x,x,x,x,x,x
  Welfare and Housing Associate Professionals,322,236,26566,,27746,,19275,21500,22610,23434,25102,27948,29512,30450,31502,35503
   Youth and community workers,3221,65,27100,,27612,,19768,22284,23277,24148,26256,28199,29695,30675,31550,x
   Child and early years officers,3222,37,25530,,25599,,18382,20949,21480,22516,24396,26460,28033,28795,29967,x
   Housing officers,3223,38,28993,,29622,,21134,23628,24927,25686,27099,30450,31346,32490,33364,x
   Counsellors,3224,10,28870,,x,,x,x,22841,24144,25885,29498,x,x,x,x
   Welfare and housing associate professionals n.e.c.,3229,86,25187,,26425,,18597,20412,21453,22413,23836,26835,28319,29128,30346,x
  Teaching and Childcare Associate Professionals,323,91,18340,,18494,,11932,14537,15231,16317,17436,19535,20997,21824,22591,x
   Higher level teaching assistants,3231,24,21710,,21294,,15914,17591,18335,19112,20149,22454,23172,23521,x,x
   Early education and childcare practitioners,3232,67,17565,,17477,,11211,13456,14488,15099,16566,18344,19517,20335,21055,x
  Veterinary nurses,324,21,21827,,21689,,x,17586,18121,18361,20081,23306,24513,25344,x,x
   Veterinary nurses,3240,21,21827,,21689,,x,17586,18121,18361,20081,23306,24513,25344,x,x
 Protective service occupations,33,319,40627,,40091,,26968,30889,32475,33866,37167,42267,44840,46202,47883,52947
  Protective Service Occupations,331,319,40627,,40091,,26968,30889,32475,33866,37167,42267,44840,46202,47883,52947
   Non-commissioned officers and other ranks,3311,:,,,,,,,,,,,,,,
   Police officers (sergeant and below),3312,228,42184,,41510,,27873,31548,33924,36189,40688,44164,46256,47561,49061,53690
   Fire service officers (watch manager and below),3313,50,36556,,37102,,27593,32087,32785,33318,34377,38066,40461,40966,42420,x
   Prison service officers (below principal officer),3314,21,32188,,32752,,24466,25955,26174,26832,29074,34085,34966,36372,x,x
   Protective service associate professionals n.e.c.,3319,21,34110,,38946,,23380,26663,28361,29501,31643,35999,39558,x,x,x
" Culture, media and sports occupations",34,109,29364,,x,,18343,21840,22937,24160,26989,32397,36188,38878,41993,x
"  Artistic, Literary and Media Occupations",341,43,32000,,39136,,20718,23145,24955,26047,28517,34991,38879,41589,x,x
   Artists,3411,x,x,,35932,,x,x,x,x,x,x,x,x,x,x
"   Authors, writers and translators",3412,12,31451,,38344,,x,23368,26044,26349,28074,34812,x,x,x,x
"   Actors, entertainers and presenters",3413,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Dancers and choreographers,3414,x,x,,x,,x,x,x,x,x,x,x,x,x,x
   Musicians,3415,x,x,,38919,,x,x,x,x,x,x,x,x,x,x
"   Arts officers, producers and directors",3416,12,38601,,50661,,x,27972,30829,32441,34849,46333,x,x,x,x
"   Photographers, audio-visual and broadcasting equipment operators",3417,11,25118,,27279,,x,19681,21750,22302,24199,27215,x,x,x,x
  Design Occupations ,342,37,31392,,34004,,22521,24900,26759,27255,28859,34001,36134,38265,40584,x
   Interior designers,3421,22,30540,,34103,,x,26742,27290,28080,29162,33862,35671,x,x,x
"   Clothing, fashion and accessories designers",3422,x,34549,,34193,,x,x,x,x,x,x,x,x,x,x
   Design occupations n.e.c.,3429,10,28886,,33676,,x,x,24985,25463,26842,x,x,x,x,x
  Sports and Fitness Occupations,343,29,22720,,x,,x,17228,18041,18523,20726,25527,x,x,x,x
   Sports players,3431,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"   Sports coaches, instructors and officials",3432,18,22452,,23860,,x,17519,18238,18497,19769,24987,26724,x,x,x
   Fitness and wellbeing instructors,3433,x,18862,,20246,,x,x,x,x,17795,20467,x,x,x,x
 Business and public service associate professionals,35,1537,34209,,40652,,21551,25000,26649,28103,31000,38000,42615,45883,49732,64434
  Transport Associate Professionals,351,12,55124,,64637,,x,35433,39559,42166,52740,x,x,x,x,x
   Aircraft pilots and air traffic controllers,3511,9,62314,,70071,,x,x,45155,51000,54882,x,x,x,x,x
   Ship and hovercraft officers,3512,x,x,,45140,,x,x,x,x,x,x,x,x,x,x
  Legal Associate Professionals,352,32,29019,,35268,,19722,21666,23466,24995,27487,30917,34735,x,x,x
   Legal associate professionals,3520,32,29019,,35268,,19722,21666,23466,24995,27487,30917,34735,x,x,x
  Finance Associate Professionals,353,161,39582,,46886,,24199,28124,29733,31462,34716,44032,47959,51275,55168,x
   Brokers,3531,x,x,,57009,,x,x,x,x,47671,x,x,x,x,x
   Insurance underwriters,3532,15,33978,,48593,,x,27557,28553,29155,31932,41148,x,x,x,x
   Financial and accounting technicians,3533,28,40513,,43495,,24034,28446,30019,32162,36070,45597,48838,51689,x,x
   Financial accounts managers,3534,109,39029,,46712,,24492,28200,29741,31553,34966,42856,46919,49809,52934,x
  Business Associate Professionals,354,230,30063,,34810,,20770,23102,24391,25371,27909,32821,36257,38204,40694,x
"   Estimators, valuers and assessors",3541,44,31454,,37728,,23242,25058,26002,27052,29516,35112,38606,40992,44374,x
   Importers and exporters,3542,x,34534,,36598,,x,x,x,x,x,x,x,x,x,x
   Project support officers,3543,32,29007,,31658,,x,x,x,x,26829,29877,x,x,x,x
   Data analysts,3544,95,31643,,34152,,21340,24398,25570,27440,29395,34151,37318,39284,42247,x
   Business associate professionals n.e.c.,3549,57,26661,,35385,,19386,20791,21291,22239,24540,28761,33349,35667,x,x
"  Sales, Marketing and Related Associate Professionals",355,759,36632,,43756,,21829,25363,27088,28865,32413,41140,47746,50783,56530,72738
   Buyers and procurement officers,3551,42,31556,,34377,,22764,25090,26354,27666,29421,34361,36591,38208,40037,x
   Business sales executives,3552,152,33622,,38926,,21214,24667,26125,27733,30424,37175,41392,44668,47040,x
   Merchandisers ,3553,10,24026,,25121,,x,x,19198,19727,22591,25419,x,x,x,x
   Marketing associate professionals,3554,122,28000,,31601,,19082,22068,23061,23801,25606,29825,32884,35637,37353,x
   Estate agents and auctioneers,3555,23,26011,,28582,,18274,19978,21074,21778,23897,27326,30065,31548,x,x
   Sales accounts and business development managers,3556,385,45826,,52882,,26080,32000,34475,36453,40667,50163,58159,63086,68085,86359
   Events managers and organisers,3557,25,26962,,28643,,20131,21000,21598,22183,24175,28407,30000,x,x,x
  Public Services Associate Professionals,356,91,34716,,35110,,26475,30429,31445,32175,33424,36815,38889,39940,40843,x
   Public services associate professionals,3560,91,34716,,35110,,26475,30429,31445,32175,33424,36815,38889,39940,40843,x
"  HR, Training and Other Vocational Associate Guidance Professionals",357,195,29465,,32322,,20032,22162,23556,24731,27189,31759,34279,36102,38895,x
   Human resources and industrial relations officers,3571,96,28268,,31954,,19879,21973,23091,24291,26444,31079,33313,34917,37478,x
