Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,17445,31224,,38066,,18254,21374,22880,24455,27703,35442,40632,43625,47374,60726
"Managers, directors and senior officials",1,2289,43428,,58117,,22275,27602,30000,32237,37727,50415,60000,66250,74815,100664
 Corporate managers and directors,11,1801,48163,,63939,,23748,29937,32623,35590,41596,56284,66862,73960,82244,111412
  Chief Executives and Senior Officials,111,98,79588,,122711,,31731,45821,51059,55155,66055,92658,110827,121880,x,x
   Chief executives and senior officials,1111,92,84003,,128208,,40000,50231,54107,60000,70800,96167,114809,125410,x,x
   Elected officers and representatives,1112,x,x,,25172,,x,x,x,x,x,x,x,x,x,x
  Production Managers and Directors,112,457,45022,,54956,,24161,30000,32905,35758,40315,50755,58750,64218,70017,89284
   Production managers and directors in manufacturing,1121,364,44978,,56001,,24000,29994,32016,35439,40000,51113,60000,66228,73715,93027
   Production managers and directors in construction,1122,87,45119,,50484,,25545,32420,34982,36653,41296,49670,54553,58859,64170,x
   Production managers and directors in mining and energy,1123,x,45000,,56110,,x,x,x,x,44436,x,x,x,x,x
  Functional Managers and Directors,113,836,58066,,73752,,29873,37031,40502,43857,50536,67856,78872,85947,94695,123026
   Financial managers and directors,1131,353,60140,,77082,,28435,36000,39776,43343,51010,70251,82297,90000,100506,136537
"   Marketing, sales and advertising directors",1132,185,74830,,91267,,35547,45459,50000,53264,62991,85293,98860,106143,115000,x
   Public relations and communications directors,1133,x,58562,,66366,,x,x,x,51577,53390,65715,x,x,x,x
   Purchasing managers and directors,1134,60,47110,,50474,,29176,31857,34196,38927,43371,52466,56996,59494,64547,x
   Charitable organisation managers and directors,1135,x,x,,41432,,x,x,x,x,x,x,x,x,x,x
   Human resource managers and directors,1136,123,46004,,51507,,29035,33967,35729,37334,41801,51140,56632,60092,64394,x
   Information technology directors,1137,48,63156,,79948,,x,41849,46824,51276,57971,73993,85498,x,x,x
   Functional managers and directors n.e.c.,1139,56,60527,,66850,,28768,38225,42132,44886,51028,68995,77286,81524,86707,x
"  Directors in Logistics, Warehousing and Transport",114,x,x,,67015,,x,x,x,x,x,x,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,x,x,,67015,,x,x,x,x,x,x,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,344,29830,,37573,,18967,21791,22920,24276,27091,33371,37889,40798,44462,59409
   Managers and directors in retail and wholesale,1150,344,29830,,37573,,18967,21791,22920,24276,27091,33371,37889,40798,44462,59409
  Senior Officers in Protective Services,116,13,57081,,58900,,x,46632,50236,54076,55755,58851,61388,x,x,x
   Officers in armed forces,1161,:,,,,,,,,,,,,,,
   Senior police officers,1162,9,58872,,62755,,x,x,55779,56291,57161,60874,x,x,x,x
"   Senior officers in fire, ambulance, prison and related services",1163,x,47129,,49359,,x,x,x,x,x,x,x,x,x,x
  Health and Social Services Managers and Directors,117,47,45005,,48558,,25230,30909,33222,34633,40643,49363,54963,57274,60820,x
   Health services and public health managers and directors,1171,36,48518,,51111,,25414,32051,34714,38868,44503,51828,56790,59762,61836,x
   Social services managers and directors,1172,11,35122,,40201,,x,27689,29959,30702,33502,38266,x,x,x,x
 Other managers and proprietors,12,488,32095,,36649,,19936,22992,24919,26423,29165,35850,40647,42808,45616,55733
  Managers and Proprietors in Agriculture Related Services,121,20,32547,,34670,,21458,25210,26149,26977,30138,34178,39030,41111,x,x
   Managers and proprietors in agriculture and horticulture,1211,14,33389,,36375,,x,26144,27986,30079,32519,36994,39473,x,x,x
"   Managers and proprietors in forestry, fishing and related services",1212,x,26948,,30118,,x,x,x,x,26202,x,x,x,x,x
  Managers and Proprietors in Hospitality and Leisure Services,122,95,25435,,28761,,17692,19605,20514,21619,23047,27773,30984,33065,35176,x
   Hotel and accommodation managers and proprietors,1221,12,26698,,35855,,x,19579,20478,21930,24210,31335,x,x,x,x
   Restaurant and catering establishment managers and proprietors,1222,38,22996,,24859,,15477,18675,19251,20262,22398,25804,27735,29314,30003,x
   Publicans and managers of licensed premises,1223,21,24615,,28289,,18039,20341,21019,21726,23065,27719,31370,34086,x,x
   Leisure and sports managers,1224,23,29289,,31748,,19099,20540,21904,23372,25737,32299,35746,38110,x,x
   Travel agency managers and proprietors,1225,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  Managers and Proprietors in Health and Care Services,123,70,36889,,37490,,23707,26241,27840,29068,32619,40431,42800,44667,46323,x
   Health care practice managers,1231,18,39556,,38537,,x,27298,28688,29153,32066,41755,43536,45591,x,x
"   Residential, day and domiciliary care managers and proprietors",1232,51,36906,,37472,,23732,26225,27979,29290,33298,39883,42602,44092,46237,x
   Early education and childcare services proprietors,1233,x,x,,20445,,x,x,x,x,x,x,x,x,x,x
"  Managers in Logistics, Warehousing and Transport",124,161,33242,,37341,,21447,24777,26295,27673,30600,36200,40703,42793,46214,57689
   Managers in transport and distribution,1241,59,38702,,42403,,23126,27994,29777,31447,34772,41904,47994,50413,54990,x
   Managers in storage and warehousing,1242,85,30023,,32643,,19377,22442,23493,25104,27746,32509,35514,36845,39071,x
   Managers in logistics,1243,18,37688,,43078,,x,28033,29700,31673,35327,42194,46029,x,x,x
  Managers and Proprietors in Other Services,125,142,34285,,41030,,20294,23936,26257,27430,30000,39447,44354,47223,51173,x
"   Property, housing and estate managers",1251,78,36107,,41871,,21748,26991,27947,29577,32426,40795,44954,47425,52054,x
   Garage managers and proprietors,1252,x,37379,,41403,,x,x,x,x,29548,41068,x,x,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,24386,,24940,,x,x,x,x,x,x,x,x,x,x
   Waste disposal and environmental services managers,1254,x,40000,,x,,x,x,x,29035,31565,x,x,x,x,x
   Managers and directors in the creative industries,1255,x,x,,54678,,x,x,27762,28937,x,x,x,x,x,x
