Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,21023,21326,0.5,26871,1.2,6267,10853,12802,14614,17878,25300,30000,32910,36292,47000
Managers and senior officials,1,3416,36382,0.5,50222,2.7,15979,21716,24344,26836,31515,42079,49920,55000,61177,85204
   Corporate managers,11,2990,38091,0.7,52891,3.1,16985,23221,25942,28567,33383,44222,52060,57350,63932,89631
    Corporate Managers And Senior Officials,111,101,77679,7.1,146081,18.2,19961,33382,39682,47257,64296,97217,123898,141988,160562,x
      Senior officials in national government,1111,6,x,,63193,-5.5,x,x,x,x,x,x,x,x,x,x
      Directors and chief executives of major organisations,1112,63,112157,15.0,205710,18.9,47057,67929,72962,80500,95712,138989,162061,182477,219012,x
      Senior officials in local government,1113,19,36812,,44006,-1.5,x,x,19863,22935,29228,45520,54471,x,x,x
      Senior officials of special interest organisations,1114,12,x,,37688,-4.2,x,21048,23186,25297,x,x,x,x,x,x
    Production Managers,112,547,40185,0.5,50354,-0.3,17096,25521,28582,31000,35814,46167,53915,58468,63770,85017
"      Production, works and maintenance managers",1121,443,39994,1.2,50338,1.8,16186,25000,28011,30538,35450,46134,54233,58860,64630,87400
      Managers in construction,1122,95,40484,-0.7,48634,-8.1,19099,26866,29808,33281,36216,44582,50200,55185,59426,x
      Managers in mining and energy,1123,9,53741,-0.8,68860,-1.0,x,38425,40458,45316,50738,64467,x,x,x,x
    Functional Managers,113,1164,45627,0.4,62223,0.9,21600,29213,32072,34796,39915,52545,61503,68044,75275,100441
      Financial managers and chartered secretaries,1131,270,53944,3.7,89042,8.2,21399,30395,34367,37600,45612,64587,78682,88421,98750,x
      Marketing and sales managers,1132,523,44163,-0.5,55592,-4.7,20371,28316,31138,33856,38864,50438,58425,64464,71160,94240
      Purchasing managers,1133,36,42735,1.5,54122,2.7,26401,31457,33394,34850,38669,49500,55908,61128,69374,x
      Advertising and public relations managers,1134,29,38178,2.1,46616,-2.6,18232,23994,26270,27599,32306,42994,49205,53036,x,x
"      Personnel, training and industrial relations managers",1135,102,41466,0.9,50598,2.9,20993,27369,30371,32386,36876,45549,52997,57601,63470,x
      Information and communication technology managers,1136,166,46353,1.8,52782,2.2,25064,31460,33870,35720,40338,52570,60362,65516,71171,85153
      Research and development managers,1137,39,46854,-0.5,55240,0.3,26398,32412,34412,36633,41096,52191,57956,62016,68678,x
    Quality And Customer Care Managers,114,104,34787,1.3,40240,2.6,18708,23770,25770,27536,31221,38514,42964,46562,50424,x
      Quality assurance managers,1141,32,37195,1.7,43188,2.9,23793,28919,30646,32337,34496,40622,45026,47723,50868,x
      Customer care managers,1142,72,33056,1.6,38922,2.5,17792,21966,23817,25762,29338,37330,42280,45452,49961,x
    Financial Institution And Office Managers,115,448,32647,2.6,41530,8.9,15067,20254,22360,24424,28403,37288,43317,47004,51674,70000
      Financial institution managers,1151,116,43141,7.7,59476,15.9,22699,29491,31902,34123,38500,49266,57107,61904,69860,x
      Office managers,1152,333,29400,2.2,35305,6.5,13515,18438,20510,22197,25637,33495,38435,42187,46078,59246
"    Managers In Distribution, Storage And Retailing",116,444,25535,0.0,29472,-1.6,13521,17002,18344,19677,22500,28669,32126,34401,37368,47476
      Transport and distribution managers,1161,56,35510,3.8,38947,-3.0,21041,25726,27221,28434,31192,38391,42385,45217,47612,x
      Storage and warehouse managers,1162,94,28398,1.7,31477,2.6,16966,19959,21753,23033,25869,30919,33815,35844,38107,x
      Retail and wholesale managers,1163,294,22778,-0.5,27018,-2.0,12198,15600,16669,17878,20162,25801,29299,31263,33922,43090
    Protective Service Officers,117,43,49394,5.4,49530,3.3,28537,32437,34885,36526,42469,53685,56646,58993,61371,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Police officers (inspectors and above),1172,17,58746,3.8,61221,5.7,51544,53345,54138,54621,56372,60665,62554,63578,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,16,37596,-3.8,41026,-4.1,29754,31502,32377,33824,35229,41379,45490,45974,x,x
      Security managers,1174,11,35476,10.5,43391,4.5,x,24884,26130,28640,32335,38014,x,x,x,x
    Health And Social Services Managers,118,139,34986,-0.7,39187,1.6,17377,22729,25055,28018,31325,39737,43550,45775,49536,61281
      Hospital and health service managers,1181,57,43523,2.4,50175,3.6,23403,31726,34422,36418,40502,46838,52498,55944,60357,x
      Pharmacy managers,1182,12,36883,-2.6,36811,-2.7,x,19885,21491,24809,30059,42673,44778,48972,x,x
      Healthcare practice managers,1183,12,24849,-2.0,27501,-3.9,x,17836,19015,21007,22505,26762,30139,x,x,x
      Social services managers,1184,15,35896,-4.2,37205,-1.0,18542,24253,27242,29391,32837,40023,44407,45528,x,x
      Residential and day care managers,1185,44,29596,2.3,29371,-0.7,14409,19066,21371,23679,27396,31342,34092,35284,36529,x
   Managers and proprietors in agriculture and services,12,426,25855,-2.4,31493,-3.9,12000,16201,17985,19326,22207,29845,34407,37149,40725,53168
"    Managers In Farming, Horticulture, Forestry And Fishing",121,19,27481,-0.4,30035,1.5,x,20018,21519,23778,25273,30346,33304,34793,x,x
      Farm managers,1211,11,25257,-4.0,28557,-1.1,x,19440,20177,21244,23947,27398,30138,x,x,x
      Natural environment and conservation managers,1212,x,x,,37058,1.5,x,x,x,x,31478,x,x,x,x,x
"      Managers in animal husbandry, forestry and fishing n.e.c.",1219,x,27488,6.9,27444,6.3,x,x,x,x,25306,29800,x,x,x,x
    Managers And Proprietors In Hospitality And Leisure Services,122,183,20954,0.6,24260,1.0,10909,14505,15860,16953,19001,23364,26729,28346,30602,38126
      Hotel and accommodation managers,1221,19,25458,2.5,29807,2.7,x,15490,16921,17894,21789,28225,31193,x,x,x
      Conference and exhibition managers,1222,13,27996,1.4,31322,,x,19900,20902,22351,25029,32538,34155,x,x,x
      Restaurant and catering managers,1223,87,19609,2.6,21109,0.0,9973,13130,14643,15899,17818,21106,23856,25220,27099,x
      Publicans and managers of licensed premises,1224,28,18951,-5.7,20314,-4.7,10877,13064,14051,14904,17338,20964,22967,24794,26730,x
      Leisure and sports managers,1225,33,23882,0.4,28577,4.9,14846,17000,18420,19080,21539,26868,29301,x,x,x
      Travel agency managers,1226,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Managers And Proprietors In Other Service Industries,123,224,31539,-1.3,37547,-4.7,13332,18645,20852,23054,27462,35776,40999,44530,48437,62190
"      Property, housing and land managers",1231,82,33799,-2.2,37943,-5.8,16002,20895,23819,25695,30000,37169,41566,44638,48872,x
      Garage managers and proprietors,1232,x,x,,31330,-4.8,x,x,x,x,x,x,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1233,x,x,,22270,17.5,x,x,x,x,x,x,x,x,x,x
      Shopkeepers and wholesale/retail dealers,1234,16,17935,-4.8,26032,,x,x,11797,12675,14444,x,x,x,x,x
      Recycling and refuse disposal managers,1235,x,35457,6.3,40184,10.6,x,x,30191,31521,32842,41548,x,x,x,x
