Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,19541,15.65,3.3,18.74,2.3,9.58,10.82,11.5,12.22,13.8,17.93,20.77,22.52,24.53,31.17
"Managers, directors and senior officials",1,2448,22.04,0.6,27.08,-0.7,11.39,13.82,14.99,16.25,18.99,25.65,30.66,33.91,37.87,49.46
  Corporate managers and directors,11,2040,23.95,0.0,28.88,-0.6,12,14.78,16.18,17.58,20.47,28.08,33.03,36.65,40.12,51.88
    Chief executives and senior officials,111,88,44.41,3.2,52.38,5.0,20.58,26.94,29.14,31.68,37.84,49.72,56.66,61.76,65.71,x
      Chief executives and senior officials,1115,84,45.15,3.4,53.87,5.3,22.09,28.03,30.56,33.25,39.1,51.05,57.54,62,66.97,x
      Elected officers and representatives,1116,x,x,,17.34,-27.8,x,x,x,x,x,x,x,x,x,x
    Production managers and directors,112,532,23.67,3.7,27.85,2.8,12.66,15.93,17.33,18.5,20.9,27.01,31.04,34.35,37.55,47.91
      Production managers and directors in manufacturing,1121,416,24.32,2.9,28.96,2.8,12.64,15.91,17.47,18.76,21.34,28.29,33.36,36.64,39.63,50.53
      Production managers and directors in construction,1122,107,21.56,5.3,23.87,4.5,12.68,16.11,17.24,17.96,19.5,23.81,26.87,28.74,30,x
      Production managers and directors in mining and energy,1123,8,22.77,6.7,26.07,2.0,x,x,16.33,17.54,18.38,24.95,x,x,x,x
    Functional managers and directors,113,772,30.81,-1.2,34.93,-2.9,15.95,19.96,21.81,23.49,27.09,35.64,40.47,43.43,47.28,58.42
      Financial managers and directors,1131,288,33.24,0.4,37.78,-3.3,15.9,20.67,22.57,24.52,28.84,37.77,43.86,47.65,51.95,65.65
      Marketing and sales directors,1132,171,38.32,2.1,39.2,0.1,17.5,22.98,24.99,27.6,32.74,42.25,47.36,50.8,53.66,62.55
      Purchasing managers and directors,1133,69,24.36,-2.8,25.86,-7.5,14.78,17.61,18.4,20.06,22.31,26.46,29.33,30.84,32.99,x
      Advertising and public relations directors,1134,14,34.36,1.8,38.2,-4.3,x,24.69,26.2,28.74,30.83,37.84,41.76,x,x,x
      Human resource managers and directors,1135,121,24.71,-3.9,26.75,-4.6,15.45,17.77,19.42,20.33,22.76,27.24,30.62,32.1,34.8,39.75
      Information technology and telecommunications directors,1136,51,36.06,-3.2,38.85,-1.6,17.84,22.88,26.18,27.91,30.63,39.87,43.44,46.42,49.73,x
      Functional managers and directors n.e.c.,1139,59,29.13,3.4,31.71,1.1,14.67,18.22,19.55,22.08,25.23,32.16,36.49,38.64,41.77,x
    Financial institution managers and directors,115,82,24.18,-8.4,30.8,-10.4,13.8,16.7,17.23,19.11,21.52,28.35,31.6,34.73,36.96,x
      Financial institution managers and directors,1150,82,24.18,-8.4,30.8,-10.4,13.8,16.7,17.23,19.11,21.52,28.35,31.6,34.73,36.96,x
    Managers and directors in transport and logistics,116,184,15.81,2.8,17.58,2.1,10.6,11.98,12.5,13.05,14.26,17.31,19.16,20.16,21.57,27.31
      Managers and directors in transport and distribution,1161,69,18.15,1.1,20,0.3,11.51,13.16,14.11,15.24,16.66,19.89,22.38,24.17,26.28,x
      Managers and directors in storage and warehousing,1162,116,14.58,3.6,16.14,5.2,10.3,11.44,12,12.4,13.44,15.83,17.51,18.67,19.43,x
    Senior officers in protective services,117,16,27.42,2.7,28.38,3.3,x,22.39,23.4,25.11,26.87,28.77,29.64,31.03,x,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,11,29,5.5,31.13,6.1,x,26.9,26.97,27.21,28.02,29.51,31.04,x,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,x,22.03,-0.5,22.65,-4.1,x,x,x,x,20.43,22.95,x,x,x,x
    Health and social services managers and directors,118,55,24.91,-2.5,26.68,0.1,15.33,18.28,19.39,20.26,22.96,27.04,29.78,31.73,33.23,x
      Health services and public health managers and directors,1181,42,26.42,-0.4,28.18,-0.2,15.84,19.61,21.05,22.76,24.81,28.65,31.72,32.6,36.06,x
      Social services managers and directors,1184,13,19.83,-1.5,21.76,-2.3,x,15.91,16.89,18.2,18.94,22.08,23.6,x,x,x
    Managers and directors in retail and wholesale,119,311,14.28,0.6,17.07,-1.3,9.79,10.86,11.53,11.97,13.03,15.56,17.51,19.02,20.87,27.71
      Managers and directors in retail and wholesale,1190,311,14.28,0.6,17.07,-1.3,9.79,10.86,11.53,11.97,13.03,15.56,17.51,19.02,20.87,27.71
  Other managers and proprietors,12,408,15.42,1.3,18.28,2.6,9.91,11.22,11.83,12.46,14.05,17.36,19.8,21.55,23,27.65
    Managers and proprietors in agriculture related services,121,21,14.35,2.8,15.8,2.8,10,11.29,11.81,12.37,13.25,15.23,17.38,18.74,x,x
      Managers and proprietors in agriculture and horticulture,1211,15,14.41,1.9,15.93,1.8,x,11.93,12.35,12.82,13.79,15.43,18.22,x,x,x
"      Managers and proprietors in forestry, fishing and related services",1213,x,12.85,-4.2,15.39,6.1,x,x,x,x,11.51,x,x,x,x,x
    Managers and proprietors in hospitality and leisure services,122,110,12.05,0.0,14.39,-0.1,8.92,9.91,10.18,10.54,11.32,13.25,14.86,15.71,16.75,x
      Hotel and accommodation managers and proprietors,1221,20,13,0.2,16.22,11.5,9.47,10.08,10.2,10.57,11.55,14.34,16.2,x,x,x
      Restaurant and catering establishment managers and proprietors,1223,44,11.23,3.5,11.83,1.2,8.58,9.64,10.01,10.42,10.73,11.89,12.41,12.95,13.89,x
      Publicans and managers of licensed premises,1224,15,11.02,,12.4,-1.4,x,8.53,9.23,9.5,10.18,12.23,x,x,x,x
      Leisure and sports managers,1225,29,15.29,4.7,18.41,2.0,9.91,11.35,11.94,12.39,13.71,16.14,18.42,19.65,x,x
      Travel agency managers and proprietors,1226,x,x,,15.02,-13.1,x,x,x,x,x,x,x,x,x,x
    Managers and proprietors in health and care services,124,66,17.75,0.4,18.69,2.8,12.02,14.01,14.46,14.96,16.85,20.09,21.63,22.55,23.55,x
      Health care practice managers,1241,19,18.2,3.7,19.77,1.6,12.58,13.98,14.64,16.55,17,20.81,22.76,23.82,x,x
"      Residential, day and domiciliary  care managers and proprietors",1242,47,17.7,0.1,18.27,2.9,11.91,14,14.46,14.81,16.36,19.64,21.44,21.89,23.01,x
    Managers and proprietors in other services,125,212,17.15,6.0,20.55,3.7,10.45,12,12.86,13.74,15.32,19.23,21.99,23.35,24.94,33.61
"      Property, housing and estate managers",1251,102,18.7,7.5,21.55,3.0,11.55,13.17,14.3,15.12,16.63,20.15,22.85,24.15,26.3,x
      Garage managers and proprietors,1252,10,15.09,5.2,18.36,3.7,x,11.71,12.14,12.76,14.14,16.49,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1253,x,11.52,20.4,12.8,21.1,x,x,x,10.56,11.18,12.29,x,x,x,x
      Shopkeepers and proprietors – wholesale and retail,1254,9,15,,x,,x,12.15,x,13.34,13.98,x,x,x,x,x
      Waste disposal and environmental services managers,1255,10,21.48,-0.2,23.48,4.2,x,13,14.79,17.5,19.58,22.58,x,x,x,x
      Managers and proprietors in other services n.e.c.,1259,74,15.33,2.5,19.02,2.0,9.64,10.73,11.5,12.44,14.07,17.5,21.08,22.53,24.83,x
Professional occupations,2,5340,22.09,3.0,23.94,2.4,13.98,16.45,17.46,18.46,20.15,24.02,26.36,27.75,29.47,35.62
"  Science, research, engineering and technology professionals",21,1495,22.13,3.1,23.71,3.2,13.7,16.28,17.29,18.34,20.21,24.31,26.72,28.16,30.15,35.02
    Natural and social science professionals,211,130,19.7,2.4,20.75,2.4,13.11,15.28,16.18,17.14,18.68,21.11,22.63,23.41,24.43,28.87
      Chemical scientists,2111,13,18.24,9.6,19.96,9.0,x,14.25,14.62,15.29,16.17,19.9,21.46,x,x,x
      Biological scientists and biochemists,2112,48,19.45,0.1,21.11,1.8,12.71,14.15,15.27,16.28,18.8,21.38,23.3,23.99,24.55,x
      Physical scientists,2113,12,21.02,4.3,21.51,2.5,x,15.15,16.14,18.08,19.1,22.53,24.08,x,x,x
      Social and humanities scientists,2114,9,18.65,6.8,17.97,5.0,x,x,14.48,15.03,16.71,19.02,x,x,x,x
      Natural and social science professionals n.e.c.,2119,47,20.01,2.8,20.92,0.4,15.23,17.04,17.52,18.13,19.37,21.33,22.14,23,24.15,x
    Engineering professionals,212,433,21.34,2.5,22.29,3.3,13.42,15.83,16.76,17.69,19.63,23.33,25.41,26.38,28,31.91
      Civil engineers,2121,56,20.54,0.7,22.7,8.1,13.19,15.33,16.19,16.83,18.32,22.44,25.09,26.52,27.79,x
      Mechanical engineers,2122,30,20.06,-0.9,21.75,0.5,13.56,14.45,14.99,16.3,18.57,22.17,25.93,26.74,x,x
      Electrical engineers,2123,33,25.34,7.0,25.35,3.4,14.65,17.68,19.47,20.71,23.34,26.42,29.69,31.01,31.92,x
      Electronics engineers,2124,x,26.54,27.4,27.22,27.5,x,x,x,x,25.83,27.75,x,x,x,x
      Design and development engineers,2126,96,21.33,4.8,21.92,2.8,14.26,16.46,17.25,18.12,19.69,22.9,24.49,25.12,26.17,x
      Production and process engineers,2127,54,19.95,1.0,20.88,1.4,12.25,14.63,15.86,16.5,18.67,21.62,24.25,25.25,25.61,x
      Engineering professionals n.e.c.,2129,159,21.4,0.7,22.15,1.8,13.13,15.69,16.9,17.68,19.75,23,25.53,26.88,28.51,31.77
    Information technology and telecommunications professionals,213,838,23.18,2.2,24.89,2.1,14.03,16.77,17.9,19.04,20.97,25.59,28.08,29.71,31.34,37.16
      IT specialist managers,2133,208,25.06,-2.0,26.89,0.2,15.63,18.41,19.41,20.44,22.58,27.68,30.75,32.68,34.55,39.35
      IT project and programme managers,2134,31,27.34,6.4,30.88,12.4,16.99,20.17,20.63,21.97,24.61,29.98,32.45,33.39,x,x
"      IT business analysts, architects and systems designers",2135,140,25.18,1.8,26.43,-2.8,15.09,18.17,19.61,20.44,22.7,27.24,30.27,31.19,33.26,38.23
      Programmers and software development professionals,2136,268,23,4.1,24.04,2.4,13.89,16.43,17.77,18.91,20.87,24.66,27.11,28.47,30.15,34.92
      Web design and development professionals,2137,53,16.98,4.4,16.98,4.1,11.12,12.78,13.72,14.36,15.86,18.16,19.17,19.56,20.51,x
      Information technology and telecommunications professionals n.e.c.,2139,137,22.37,7.4,23.69,4.5,13.31,16.1,16.86,17.74,20.44,24.75,27.06,28.1,29.41,34
    Conservation and environment professionals,214,34,16.97,-6.1,18.8,3.9,11.54,12.83,13.78,14.37,15.67,19.03,20.93,21.62,22.89,x
      Conservation professionals,2141,12,15.92,6.8,16.51,-1.0,x,11.84,12.53,13.49,14.77,17.69,19.12,x,x,x
      Environment professionals,2142,22,17.25,-7.4,20.04,8.2,11.54,13.29,13.91,14.42,16.29,20.46,21.84,23.25,x,x
    Research and development managers ,215,60,24.89,1.6,26.89,4.4,16.08,18.14,20.06,21.43,23.36,27.97,30.22,33.15,35.21,x
      Research and development managers,2150,60,24.89,1.6,26.89,4.4,16.08,18.14,20.06,21.43,23.36,27.97,30.22,33.15,35.21,x
