Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,16813,34963,5.8,42210,5.4,21000,24496,26085,27673,31069,39516,44738,48000,52007,66669
"Managers, directors and senior officials",1,2280,48850,6.4,66535,4.9,25509,30930,33754,36612,42370,56725,67822,75538,84938,112199
 Corporate managers and directors,11,1812,54457,8.2,72931,5.8,26468,33394,36873,40395,47250,63444,75688,83600,92768,121626
  Chief Executives and Senior Officials,111,95,82047,5.0,116595,-1.3,37848,47715,52914,58453,70000,93380,105592,111952,123201,x
   Chief executives and senior officials,1111,90,84131,5.5,120283,-1.2,39413,50250,54694,61000,71791,95430,106857,114712,125748,x
   Elected officers and representatives,1112,x,x,,x,,x,x,x,x,x,x,x,x,x,x
  Production Managers and Directors,112,560,51410,8.8,62738,5.8,26390,33850,37545,40576,46218,57481,66912,73002,78813,100957
   Production managers and directors in manufacturing,1121,461,51469,9.3,64155,6.4,25911,33593,37112,40146,45999,58241,68631,75000,81649,103861
   Production managers and directors in construction,1122,89,50095,2.5,54237,2.9,x,x,38223,41470,46882,54382,61562,x,x,x
   Production managers and directors in mining and energy,1123,10,51642,,72758,,x,40335,40852,43872,46529,x,x,x,x,x
  Functional Managers and Directors,113,817,66123,7.6,86938,4.3,32941,41627,45519,49328,57104,77645,91173,98512,107500,141864
   Financial managers and directors,1131,341,70000,8.1,97946,7.1,30000,40000,45000,49876,59151,83468,98579,107548,120990,165955
"   Marketing, sales and advertising directors",1132,183,83015,7.2,92879,-2.5,39155,51316,55611,61081,72105,94161,105946,113733,122095,x
   Public relations and communications directors,1133,11,79886,19.5,x,,x,58721,62781,66879,71237,85672,x,x,x,x
   Purchasing managers and directors,1134,51,50315,1.3,55940,2.8,x,x,x,41068,46595,56272,x,x,x,x
   Charitable organisation managers and directors,1135,x,40921,,43592,3.5,x,x,x,x,x,x,x,x,x,x
   Human resource managers and directors,1136,123,49409,5.2,57314,6.3,30032,36008,39374,41708,45275,54725,60788,64544,68755,x
   Information technology directors,1137,40,80000,8.4,92084,9.1,42140,55149,58755,61406,67839,89433,97086,101096,x,x
   Functional managers and directors n.e.c.,1139,64,69933,13.9,81620,4.0,34897,46072,48805,52330,59901,77184,83535,90271,95309,x
"  Directors in Logistics, Warehousing and Transport",114,x,72177,,x,,x,x,x,52934,65358,x,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,x,72177,,x,,x,x,x,52934,65358,x,x,x,x,x
  Managers and Directors in Retail and Wholesale,115,307,33121,6.1,41008,4.5,21380,24885,26202,27484,30000,36875,42330,45742,50335,x
   Managers and directors in retail and wholesale,1150,307,33121,6.1,41008,4.5,21380,24885,26202,27484,30000,36875,42330,45742,50335,x
  Senior Officers in Protective Services,116,11,59881,4.1,63719,0.7,x,51494,55459,55820,58731,62032,x,x,x,x
