Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,27085,14.1,2.8,17.97,1.9,9.03,9.94,10.37,10.95,12.36,16.33,19.33,20.95,23,29.59
"Managers, directors and senior officials",1,2810,21.03,0.3,26.54,-0.9,10.61,13,14.32,15.42,18.21,24.61,29.2,32.2,36.48,47.92
  Corporate managers and directors,11,2333,22.82,0.3,28.33,-0.6,11.28,14.09,15.38,16.81,19.65,26.7,31.46,35,38.76,50.66
    Chief executives and senior officials,111,104,40.15,2.9,50.92,4.7,17.79,24.56,26.9,29.08,34.5,46.94,53.6,58.57,63.24,x
      Chief executives and senior officials,1115,96,43.15,4.9,53.13,4.9,20.83,26.95,29.2,31.38,37.49,49.27,55.73,61.3,65.7,x
      Elected officers and representatives,1116,9,14.6,,16.28,-20.9,x,9.79,9.99,11.35,13.68,x,x,x,x,x
    Production managers and directors,112,622,22.59,4.8,27.24,2.5,11.36,14.96,16.38,17.79,19.97,25.73,29.45,31.94,35.94,45.94
      Production managers and directors in manufacturing,1121,495,22.94,4.9,28.21,2.7,11.16,14.93,16.33,17.88,20.2,26.15,30.96,34.25,37.58,47.92
      Production managers and directors in construction,1122,119,21.1,5.4,23.6,3.8,11.52,14.95,16.45,17.5,19.17,23.42,26.4,27.87,29.54,x
      Production managers and directors in mining and energy,1123,8,23.1,8.3,26.12,2.2,x,15.31,x,17.81,18.38,25.65,x,x,x,x
    Functional managers and directors,113,893,28.91,-2.1,34.15,-2.8,14.73,18.6,20.07,21.82,25.16,33.22,38.65,41.79,45.88,57.24
      Financial managers and directors,1131,334,30.66,0.0,36.82,-2.8,14.42,18.88,20.92,22.56,26.66,35.97,41.79,46.01,49.62,63.91
      Marketing and sales directors,1132,193,35.77,0.0,38.45,-0.4,16.48,20.62,23.5,25.55,30.67,40.7,46.01,49.15,51.97,61.57
      Purchasing managers and directors,1133,72,23.82,-4.3,25.73,-7.2,14.68,17.5,18.28,19.98,22.18,26.42,29.13,30.75,32.94,x
      Advertising and public relations directors,1134,16,31.35,3.4,36.66,-4.7,x,22.54,24.02,24.97,29.15,36.13,40.49,x,x,x
      Human resource managers and directors,1135,137,24.33,-1.8,26.51,-3.9,15.33,17.55,19.31,20.05,22.24,26.93,30.14,31.86,34.18,39.64
      Information technology and telecommunications directors,1136,71,29.5,-19.1,36.91,-5.6,14.37,18.42,19.95,21.17,26.04,33.73,39.87,42.2,46,x
      Functional managers and directors n.e.c.,1139,70,25.88,5.7,30.56,1.7,12.03,15.01,16.53,18.35,21.96,30.47,33.6,36.53,39.57,x
    Financial institution managers and directors,115,89,23.53,-10.4,30.28,-11.0,12.8,15.87,17.04,18.4,20.9,27.12,30.63,33.95,36.21,x
      Financial institution managers and directors,1150,89,23.53,-10.4,30.28,-11.0,12.8,15.87,17.04,18.4,20.9,27.12,30.63,33.95,36.21,x
    Managers and directors in transport and logistics,116,194,15.66,2.1,17.49,1.6,10.24,11.73,12.28,12.81,14.11,17.14,18.97,20.11,21.43,27.24
      Managers and directors in transport and distribution,1161,73,17.98,0.0,19.92,-0.7,11.04,12.82,13.96,14.77,16.52,19.63,22.02,23.71,25.83,x
      Managers and directors in storage and warehousing,1162,121,14.33,2.9,16.03,5.0,10.12,11.23,11.81,12.27,13.24,15.71,17.34,18.41,19.27,x
    Senior officers in protective services,117,17,27.39,3.1,28.36,3.8,x,22.5,23.58,25.15,26.8,28.54,29.62,30.96,x,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,11,29,5.5,31.13,6.1,x,26.9,26.97,27.21,28.02,29.51,31.04,x,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,x,22.26,2.5,22.67,-2.5,x,x,x,x,20.44,23.1,x,x,x,x
    Health and social services managers and directors,118,64,24.73,5.1,26.23,1.0,14.15,17.81,19.29,19.69,22.75,26.64,29.37,31.7,32.6,x
      Health services and public health managers and directors,1181,48,26.41,3.2,27.88,1.5,15.57,19.38,20.24,22.58,24.5,28.38,31.7,32.48,36.01,x
      Social services managers and directors,1184,16,19.41,-3.6,21.11,-3.1,x,14,15.97,16.84,18.56,21.71,22.87,23.76,x,x
    Managers and directors in retail and wholesale,119,349,13.71,1.4,16.71,-1.4,9.31,10.39,10.86,11.5,12.35,14.94,16.77,18.21,20.18,26.17
      Managers and directors in retail and wholesale,1190,349,13.71,1.4,16.71,-1.4,9.31,10.39,10.86,11.5,12.35,14.94,16.77,18.21,20.18,26.17
