Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
   Garage managers and proprietors,1252,9,14.4,,18,,x,11.46,11.69,12.05,13.04,16.54,x,x,x,x
   Hairdressing and beauty salon managers and proprietors,1253,x,11.27,,12.12,,x,x,x,9.25,10,11.46,x,x,x,x
   Waste disposal and environmental services managers,1254,10,18.7,,20.54,,x,11.68,12.79,14.03,16.5,20.95,21.97,x,x,x
   Managers and directors in the creative industries,1255,11,x,,25.96,,x,10.73,12.85,13.84,14.86,x,x,x,x,x
   Betting shop and gambling establishment managers,1256,x,9.78,,10.03,,x,x,x,x,x,x,x,x,x,x
   Hire services managers and proprietors,1257,8,13.47,,15.94,,x,x,11.39,11.53,12.73,14.08,x,x,x,x
   Directors in consultancy services,1258,x,x,,25.71,,x,x,x,x,x,x,x,x,x,x
   Managers and proprietors in other services n.e.c.,1259,33,15.37,,18.68,,9.57,10.17,11.01,11.62,13.34,17.29,19.86,22.64,x,x
Professional occupations,2,7175,21.76,,23.64,,13.37,16.04,16.98,18.02,19.86,23.66,26.02,27.37,29.22,35.55
" Science, research, engineering and technology professionals",21,1671,21.63,,23.33,,13.13,15.66,16.75,17.83,19.73,23.82,26.34,27.78,29.6,34.75
  Natural and Social Science Professionals,211,125,19.49,,20.6,,12.75,14.6,15.49,16.27,18.36,20.99,22.75,23.52,24.73,28.97
   Chemical scientists,2111,16,17.7,,19.17,,x,13.49,14.06,14.62,15.63,19,20.77,x,x,x
   Biological scientists,2112,17,18.94,,20.54,,x,12.43,13.72,14.61,17.3,20.78,23.38,x,x,x
   Biochemists and biomedical scientists,2113,39,19.92,,20.97,,12.77,14.31,15.55,16.18,18.94,22.04,23.08,23.99,24.53,x
   Physical scientists,2114,12,21.84,,21.97,,x,15.26,16.2,17.89,19.56,22.99,25.39,x,x,x
   Social and humanities scientists,2115,12,18.78,,18.25,,x,14.25,15.04,15.36,17.08,19.47,19.88,20.39,x,x
   Natural and social science professionals n.e.c.,2119,31,20.43,,21.26,,14.47,16.26,16.95,17.48,18.75,21.62,22.8,23.69,24.61,x
  Engineering Professionals,212,437,21.02,,22.05,,13.07,15.61,16.58,17.54,19.33,23.02,25.2,26.18,27.63,31.62
   Civil engineers,2121,71,20.34,,22.19,,12.99,14.94,15.64,16.69,18.22,22.13,24.97,26.01,27.52,x
   Mechanical engineers,2122,31,19.63,,20.85,,13.19,15.37,16.64,18.06,19.02,20.48,22.59,24.18,x,x
   Electrical engineers,2123,43,24.67,,25.06,,14.8,18.22,19.48,20.88,23.05,26.21,28.73,30.54,31.92,x
   Electronics engineers,2124,x,26.42,,26.25,,x,x,x,23.95,25.79,26.99,x,x,x,x
   Production and process engineers,2125,66,20.15,,21.2,,12.1,14.85,16.03,16.57,18.74,22.06,24.6,25.42,25.98,x
   Aerospace engineers,2126,25,21.91,,22.02,,14.27,16.57,17.36,18.55,20.93,23.39,24.41,24.99,x,x
   Engineering project managers and project engineers,2127,88,21.7,,22.29,,13.09,15.51,16.87,17.94,19.48,23.21,25.45,27.13,28.84,x
   Engineering professionals n.e.c.,2129,107,19.99,,21.13,,12.5,15.23,16.04,16.92,18.49,21.98,24.13,25.5,26.92,x
  Information Technology Professionals,213,910,22.99,,24.87,,13.82,16.65,17.85,18.93,20.87,25.44,27.95,29.64,31.27,37.16
   IT project managers,2131,40,25.88,,28.35,,15.77,18.3,18.83,20.15,22.73,28.04,30.61,32.5,33.46,x
   IT managers,2132,242,24.4,,26.39,,14.4,17.51,18.75,19.88,22.1,26.95,30.31,32.16,34.34,38.99
"   IT business analysts, architects and systems designers",2133,149,24.98,,26.5,,14.85,18.02,19.45,20.34,22.54,27.26,30.28,31.19,33.48,39.36
   Programmers and software development professionals ,2134,337,22.1,,23.76,,13.61,16.03,17.01,18.17,19.98,24.05,26.6,28.06,29.81,35.06
   Cyber security professionals,2135,14,24.82,,25.98,,x,16.85,17.63,18.49,21.17,27.54,29.41,x,x,x
   IT quality and testing professionals,2136,12,20.34,,19.73,,x,13.69,15.52,17.37,18.9,20.87,22.8,x,x,x
   IT network professionals,2137,23,20.33,,21.22,,x,15.21,16.31,16.67,18.61,21.29,23.31,24.79,x,x
   Information technology professionals n.e.c.,2139,94,20.95,,22.2,,12.03,14.94,16.12,17.08,18.76,22.93,26.03,26.86,27.48,x
  Web and Multimedia Design Professionals,214,52,13.89,,15.72,,9.89,11.39,12.14,12.44,13.21,14.72,16.35,16.8,19.17,x
   Web design professionals,2141,10,17.23,,17.23,,x,12.52,12.81,13.74,14.26,19.3,20.73,x,x,x
   Graphic and multimedia designers,2142,41,13.44,,15.36,,9.82,11.19,11.99,12.27,12.85,14.48,15.33,16.18,16.44,x
  Conservation and Environment Professionals,215,56,16.85,,18.45,,11.09,12.41,13.32,14.22,15.67,18.49,20.78,21.62,22.58,x
   Conservation professionals,2151,13,16.61,,16.57,,x,11.74,12.02,13.39,14.92,17.79,18.75,x,x,x
   Environment professionals,2152,43,16.85,,19,,11.18,13.05,13.72,14.31,15.77,19.04,21.15,21.88,23.44,x
  Research and Development (R&D) and Other Research Professionals,216,91,22.75,,25.26,,15.27,17.51,18.63,19.44,20.84,24.87,28.13,29.62,31.43,x
   Research and development (R&D) managers ,2161,69,24.2,,26.66,,15.24,17.73,19.44,20.56,22.31,27.28,29.78,31.2,33.28,x
"   Other researchers, unspecified discipline",2162,22,19.72,,20.67,,15.51,17.32,17.82,18.2,19.31,20.42,21.52,22.12,x,x
 Health professionals,22,1693,20.12,,22.5,,13.58,15.88,16.63,17.29,19.14,21.84,23.63,24.69,26.31,33.26
  Medical Practitioners,221,284,30.79,,33.8,,17.58,21.42,22.91,24.04,26.29,36,41.88,45,47.68,55.83
   Generalist medical practitioners,2211,107,25.07,,27.59,,16.59,19.19,20.8,22,23.81,30.68,37.92,40.21,43.26,x
   Specialist medical practitioners,2212,178,33.31,,37.19,,18.45,23.41,24.44,25.91,28.78,37.93,45,47.7,50.07,59.56
  Therapy Professionals,222,172,19.54,,20.15,,12.74,15.04,16.04,16.83,18.4,20.91,22.76,23.41,24.53,27.92
   Physiotherapists,2221,62,19.38,,19.56,,12.74,15.05,16.12,16.85,17.8,20.8,22.75,23.34,24.02,x
   Occupational therapists,2222,37,19.38,,18.69,,13.12,15.25,16.04,16.9,18.38,19.53,20.61,20.95,21.98,x
   Speech and language therapists,2223,17,19.38,,18.9,,12.38,14.39,15.79,16.89,17.32,20.34,21.78,22.35,x,x
   Psychotherapists and cognitive behaviour therapists,2224,7,20.84,,19.91,,x,x,16.05,17.4,19.43,20.99,x,x,x,x
   Clinical psychologists,2225,13,24.61,,24.82,,x,16.96,17.06,19.81,22.88,26.44,27.19,29.43,x,x
   Other psychologists,2226,24,23.57,,23.96,,11.2,13.21,15.18,16.86,20.37,26.4,28.48,29.82,31.68,x
   Therapy professionals n.e.c.,2229,13,17.05,,17.56,,x,x,14.11,14.61,16.04,19.37,21.22,x,x,x
  Nursing Professionals,223,1003,19.36,,19.68,,13.49,15.65,16.04,16.7,17.93,20.13,21.66,22.75,23.4,26.42
