Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,15102,26095,,32691,,14033,17022,18403,19820,22752,29851,34334,37041,40454,52471
"Managers, directors and senior officials",1,1875,37827,,55134,,18000,22946,25500,27849,32610,44611,53336,58758,66745,97030
  Corporate managers and directors,11,1557,40183,,58810,,18509,24215,27000,29611,34588,47387,56520,62550,71777,101667
    Chief executives and senior officials,111,57,72990,,127472,,23355,36104,39952,44558,57379,91893,110812,126020,x,x
      Chief executives and senior officials,1115,54,76256,,132518,,25228,37996,41798,45967,60428,95672,114984,132067,x,x
      Elected officers and representatives,1116,x,x,,36424,,x,x,x,x,x,x,x,x,x,x
    Production managers and directors,112,425,40674,,52598,,20000,26930,29338,31420,35854,46047,54339,58519,64601,88131
      Production managers and directors in manufacturing,1121,336,41577,,54349,,20509,27106,29687,31679,36236,47026,55629,60270,67507,91386
      Production managers and directors in construction,1122,84,37493,,45305,,18747,24937,27709,29889,33970,41397,47041,50295,55505,x
      Production managers and directors in mining and energy,1123,x,x,,57025,,x,x,35447,36516,37938,x,x,x,x,x
    Functional managers and directors,113,488,55000,,78948,,25559,33714,36749,40049,47307,63566,76950,87170,95895,133971
      Financial managers and directors,1131,188,56733,,90219,,26126,34250,37516,40889,48959,65488,79300,90279,101439,x
      Marketing and sales directors,1132,122,66747,,88444,,28879,41066,44661,48989,57956,77321,90680,96251,103338,x
      Purchasing managers and directors,1133,35,42218,,53145,,26442,31449,33385,34827,38586,49154,53976,58170,64683,x
      Advertising and public relations directors,1134,6,x,,99432,,x,x,x,x,x,x,x,x,x,x
      Human resource managers and directors,1135,69,44679,,57415,,25211,30885,33212,35564,40000,50767,60165,63688,71552,x
      Information technology and telecommunications directors,1136,24,59073,,69997,,x,36000,40504,44569,53027,70489,85218,x,x,x
      Functional managers and directors n.e.c.,1139,45,47231,,61259,,20779,27235,29849,32614,39524,53323,64160,x,x,x
    Financial institution managers and directors,115,86,44914,,71399,,21889,28167,30578,33312,37480,53736,66377,75057,88276,x
      Financial institution managers and directors,1150,86,44914,,71399,,21889,28167,30578,33312,37480,53736,66377,75057,88276,x
    Managers and directors in transport and logistics,116,138,31000,,35722,,18765,22302,24358,25729,28259,34446,38358,40729,45003,54229
      Managers and directors in transport and distribution,1161,61,34483,,38662,,21011,25665,27178,28541,31125,38334,42688,45464,48222,x
      Managers and directors in storage and warehousing,1162,76,28541,,33370,,16891,21050,22169,23348,26274,31468,35009,37120,39399,x
    Senior officers in protective services,117,27,53712,,53517,,34323,41144,44699,46000,51573,55357,58190,59878,61895,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,16,56903,,59685,,51462,52558,53682,54228,55239,58963,61309,62550,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,11,43758,,44525,,x,34488,36373,37668,40731,45492,48428,x,x,x
    Health and social services managers and directors,118,55,42053,,48260,,25549,31473,33656,34901,38758,46566,51718,54390,56747,x
      Health services and public health managers and directors,1181,41,45120,,50664,,25533,32581,34364,35781,40289,49221,53710,55945,61570,x
      Social services managers and directors,1184,14,37148,,41045,,25460,30181,31309,32172,34983,40660,42999,46039,x,x
    Managers and directors in retail and wholesale,119,281,23632,,29331,,14214,16509,17689,18749,21056,26903,30393,32491,35498,47595
      Managers and directors in retail and wholesale,1190,281,23632,,29331,,14214,16509,17689,18749,21056,26903,30393,32491,35498,47595
  Other managers and proprietors,12,319,29361,,37186,,16257,19500,20965,22550,25910,33350,38000,41277,45671,58575
    Managers and proprietors in agriculture related services,121,14,29208,,34387,,18026,20667,22005,23498,25224,31028,35556,x,x,x
      Managers and proprietors in agriculture and horticulture,1211,11,28785,,33604,,x,20823,22180,23867,25228,30765,34230,x,x,x
"      Managers and proprietors in forestry, fishing and related services",1213,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Managers and proprietors in hospitality and leisure services,122,95,23451,,30095,,14640,17245,18147,19081,21128,26804,29792,32989,36962,x
      Hotel and accommodation managers and proprietors,1221,17,27890,,37025,,15028,17672,19224,20369,24069,30589,x,x,x,x
      Restaurant and catering establishment managers and proprietors,1223,30,20908,,24210,,12623,15013,16777,17941,19233,22905,25504,27102,28895,x
      Publicans and managers of licensed premises,1224,7,20802,,25017,,x,15000,17271,17837,19400,22961,x,x,x,x
      Leisure and sports managers,1225,35,25160,,30840,,16200,18286,19007,20264,22255,27733,30624,34826,x,x
      Travel agency managers and proprietors,1226,x,30362,,42882,,x,x,20579,22093,x,x,x,x,x,x
    Managers and proprietors in health and care services,124,55,29596,,30600,,18258,21511,22746,23951,27183,31881,34978,35946,37773,x
      Health care practice managers,1241,11,31883,,32685,,x,23545,24628,26019,28024,33666,35544,36048,x,x
"      Residential, day and domiciliary  care managers and proprietors",1242,44,29327,,30064,,17129,21009,22153,23709,26926,31035,34668,35879,37459,x
    Managers and proprietors in other services,125,156,34052,,44073,,17367,21382,23727,25646,29934,38459,45000,48749,52958,x
"      Property, housing and estate managers",1251,71,35328,,43071,,18094,23890,25873,27973,31691,39796,46269,49965,53265,x
      Garage managers and proprietors,1252,9,30140,,33524,,x,22691,23441,24571,27491,31980,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1253,x,19817,,23606,,x,x,x,x,18068,x,x,x,x,x
      Shopkeepers and proprietors – wholesale and retail,1254,6,x,,37015,,x,x,16582,18090,x,x,x,x,x,x
      Waste disposal and environmental services managers,1255,6,34392,,41334,,x,x,28575,29839,32541,x,x,x,x,x
      Managers and proprietors in other services n.e.c.,1259,61,33318,,48941,,17046,20810,22506,23885,28368,39179,45459,50443,55756,x
Professional occupations,2,3415,35625,,41143,,22072,26470,28099,29658,32675,38910,42956,45488,49009,62748
"  Science, research, engineering and technology professionals",21,915,37605,,41580,,23123,27810,29533,30991,34244,41133,45684,48347,52436,64363
    Natural and social science professionals,211,117,35466,,38730,,21739,26104,27485,29403,32091,39650,43171,45762,48850,x
      Chemical scientists,2111,x,x,,34996,,x,x,x,x,x,x,x,x,x,x
      Biological scientists and biochemists,2112,48,37905,,39458,,20695,25652,26601,27982,32297,41414,46326,48208,50502,x
      Physical scientists,2113,10,40001,,47675,,x,26482,30321,35625,37386,42667,x,x,x,x
      Social and humanities scientists,2114,x,29843,,29857,,x,x,x,22966,25634,30555,x,x,x,x
      Natural and social science professionals n.e.c.,2119,43,34514,,37914,,x,27445,29518,30348,32584,36830,40744,42396,45105,x
    Engineering professionals,212,286,37005,,40192,,23500,27504,28877,30412,34020,40121,43740,46046,48814,58886
