Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,15215,26244,1.4,32837,2.0,14095,17105,18500,19944,22881,29982,34498,37206,40603,52643
Managers and senior officials,1,3095,38352,0.9,52950,3.4,18973,24512,26919,29219,33783,44300,52000,57128,63683,89127
   Corporate managers,11,2725,40000,1.0,55515,3.9,20000,25871,28397,30645,35180,46156,54445,59648,66461,92033
    Corporate Managers And Senior Officials,111,91,85435,9.7,152619,19.1,28867,42418,49784,58013,71071,103201,134613,148769,167935,x
      Senior officials in national government,1111,x,78182,3.4,80739,-1.4,x,x,x,x,73565,80470,x,x,x,x
      Directors and chief executives of major organisations,1112,61,114549,15.3,201269,20.2,49762,69647,74396,82820,98480,139855,163440,184974,219345,x
      Senior officials in local government,1113,16,45420,-12.7,52478,-4.0,21877,27616,29139,32252,38888,53121,58164,x,x,x
      Senior officials of special interest organisations,1114,x,x,,42506,-0.2,x,25458,x,x,x,x,x,x,x,x
    Production Managers,112,509,41760,1.9,52488,0.9,21000,27827,30374,33005,37168,47502,55355,60000,66008,87446
"      Production, works and maintenance managers",1121,412,41539,2.1,52552,3.2,20160,27376,30000,32043,36807,47467,55765,60427,66674,89795
      Managers in construction,1122,88,41375,-0.7,50789,-6.9,22321,29152,31757,34326,37431,45700,52096,56461,60305,x
      Managers in mining and energy,1123,9,53741,-0.8,66432,-4.5,x,38520,41067,46220,50822,63915,x,x,x,x
    Functional Managers,113,1070,47329,0.4,64765,1.8,25209,31584,34320,36659,41554,54752,63991,70389,77850,103718
      Financial managers and chartered secretaries,1131,240,59301,4.4,96765,9.3,27367,35205,38561,42025,49710,69527,83671,92830,104099,x
      Marketing and sales managers,1132,489,45263,-0.5,56350,-4.5,23495,30000,32691,35231,40000,51701,60000,65920,72794,96103
      Purchasing managers,1133,35,43263,2.8,55513,4.0,27096,32564,34319,35486,39061,50067,56249,63152,x,x
      Advertising and public relations managers,1134,25,41110,2.8,51075,-1.8,22743,26619,29116,31481,35595,46348,52496,55061,x,x
"      Personnel, training and industrial relations managers",1135,89,43369,2.8,54130,4.9,25616,30856,32993,35460,39742,48707,55957,60461,67122,x
      Information and communication technology managers,1136,157,47254,2.1,54052,2.9,26932,33081,35002,36813,41078,53200,60727,66061,71988,87216
      Research and development managers,1137,36,47895,0.2,57488,1.2,28634,34166,36029,38382,44288,53778,58738,63927,70783,x
    Quality And Customer Care Managers,114,97,35773,1.9,41598,2.9,20000,25251,27133,29202,32512,39477,43558,47680,50704,x
      Quality assurance managers,1141,30,38717,3.0,44764,3.9,26342,30534,31773,33302,35823,41706,46476,48303,x,x
      Customer care managers,1142,67,34014,1.3,40198,2.6,18984,23235,24927,26782,30213,37892,42797,46440,50447,x
    Financial Institution And Office Managers,115,387,35260,3.7,45480,9.9,19651,24000,25710,27639,31326,40000,46091,49736,54970,73887
      Financial institution managers,1151,109,44161,6.5,61533,15.3,24984,31157,33132,35050,39495,50573,58384,62802,71223,x
      Office managers,1152,278,32074,2.6,39183,7.8,18441,22426,24041,25572,28792,36497,41768,45000,48602,62876
"    Managers In Distribution, Storage And Retailing",116,411,26626,1.4,30761,-1.6,15516,18222,19498,21000,23659,29675,33156,35268,38145,48269
      Transport and distribution managers,1161,55,36000,3.7,39604,-3.4,22200,26326,27822,28824,31753,38751,42714,45462,47927,x
      Storage and warehouse managers,1162,90,28750,1.9,32156,2.6,17961,20783,22324,23844,26377,31225,34027,36094,38349,x
      Retail and wholesale managers,1163,266,23737,-1.1,28471,-2.0,14386,16965,18000,18979,21485,26781,30059,32173,34531,44890
    Protective Service Officers,117,41,51276,5.1,51006,2.6,30607,33956,35294,37462,44181,54236,57905,59714,61956,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Police officers (inspectors and above),1172,17,58746,3.5,61221,5.6,51544,53345,54138,54621,56372,60665,62554,63578,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,15,39271,-3.1,42381,-5.3,31229,32077,33427,34238,36477,43013,45736,47555,x,x
      Security managers,1174,10,36569,3.6,46111,3.4,x,27177,29000,30604,33901,39739,x,x,x,x
    Health And Social Services Managers,118,120,37011,-0.2,42100,2.5,21532,27225,29186,30570,34058,41072,45193,47175,51032,x
      Hospital and health service managers,1181,50,45412,6.0,53760,5.2,31293,35280,37785,39886,42123,49115,54375,56696,63282,x
      Pharmacy managers,1182,10,38865,-5.8,39045,-6.9,x,21613,24781,27246,34044,43406,46846,x,x,x
      Healthcare practice managers,1183,9,26800,-5.8,30910,-2.6,x,21453,22103,22500,24767,29840,x,x,x,x
      Social services managers,1184,14,37158,-3.8,39170,0.6,22470,28269,29511,31154,34688,41299,45194,46313,x,x
      Residential and day care managers,1185,38,30401,1.2,31189,-1.1,19026,23215,24719,26686,29188,32643,35011,35923,37485,x
   Managers and proprietors in agriculture and services,12,370,27989,-1.3,34055,-3.4,15779,18792,20229,21472,24591,31606,36207,39086,42882,54979
"    Managers In Farming, Horticulture, Forestry And Fishing",121,17,28510,0.3,31866,2.4,18257,22058,23951,24807,26000,30820,34201,36172,x,x
      Farm managers,1211,10,26254,-0.9,30509,1.1,x,20428,21732,23372,24975,28589,32615,x,x,x
      Natural environment and conservation managers,1212,x,x,,40214,3.6,x,x,x,x,32146,x,x,x,x,x
"      Managers in animal husbandry, forestry and fishing n.e.c.",1219,x,27886,6.9,28145,2.1,x,x,x,x,25822,30308,x,x,x,x
    Managers And Proprietors In Hospitality And Leisure Services,122,157,22239,-1.1,26380,1.0,14393,16850,17942,18725,20560,25007,27955,29783,31898,x
