Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,17549,12.57,1.2,15.27,1.5,7.02,8.35,8.95,9.57,10.96,14.51,17,18.5,20.36,26.29
Managers and senior officials,1,3429,19,1.9,22.83,1.9,9.21,11.9,13.03,14.26,16.51,21.7,25.28,27.57,30.66,40.79
   Corporate managers,11,3006,19.75,1.3,23.82,2.0,9.84,12.65,13.86,15.08,17.4,22.62,26.36,28.69,31.89,42.02
    Corporate Managers And Senior Officials,111,99,40.1,-0.7,47.67,-0.6,15.3,22.07,25.73,29.67,34.79,46.7,53.75,59.44,65.94,85.79
      Senior officials in national government,1111,5,37.99,23.4,44.94,37.5,x,x,30.53,33.65,36.26,x,x,x,x,x
      Directors and chief executives of major organisations,1112,64,49.24,-1.6,58.42,-5.2,27.36,34.11,37.11,39.29,43.59,55.24,64.62,69.15,76.66,x
      Senior officials in local government,1113,18,26.24,-0.3,27.2,-5.8,10.55,14.66,15.93,17.82,20.23,28.21,31.43,32.66,x,x
      Senior officials of special interest organisations,1114,12,18.81,7.4,22.51,9.0,12.09,13.56,15.44,16.15,17.57,21.78,23.17,x,x,x
    Production Managers,112,557,19.58,-0.2,23.01,1.8,10.42,13.39,14.66,15.56,17.5,22.39,25.9,27.69,30.4,38.75
"      Production, works and maintenance managers",1121,439,19.68,-0.2,22.93,1.6,10.22,13.26,14.5,15.37,17.43,22.42,25.97,27.91,30.6,38.88
      Managers in construction,1122,107,19.11,-0.3,22.59,2.3,11.14,13.92,14.98,15.96,17.44,21.64,24.62,26.58,28.52,x
      Managers in mining and energy,1123,11,23.55,-1.6,30.28,2.0,x,17.13,18.73,19.53,21.82,28.21,x,x,x,x
    Functional Managers,113,1173,23.56,0.7,27.91,2.2,12.93,16.15,17.4,18.57,20.9,26.74,30.83,33.72,36.59,46.95
      Financial managers and chartered secretaries,1131,271,28.51,-0.6,34.49,2.9,13.99,17.88,19.6,21.19,24.9,33.48,38.7,42.76,46.62,60.72
      Marketing and sales managers,1132,508,22.16,1.2,26.05,2.9,12.03,15.28,16.62,17.88,19.79,25.09,28.97,31.42,34.64,44.07
      Purchasing managers,1133,37,21.6,-6.4,25.28,-2.0,13.28,16.1,17.09,17.67,19.65,24.72,27.76,29.65,33.75,x
      Advertising and public relations managers,1134,29,21.13,6.3,27.41,9.1,12.6,14.95,16.21,17.2,19.35,22.34,25.94,27.54,x,x
"      Personnel, training and industrial relations managers",1135,102,21.9,2.0,25.54,3.8,13.17,15.67,16.78,17.93,19.85,24.5,27.6,29.66,32.21,41.76
      Information and communication technology managers,1136,181,23.7,-0.6,25.81,-0.8,13.64,16.83,17.9,18.71,21.06,26.33,29.69,31.74,34.02,40.92
      Research and development managers,1137,44,23.94,3.6,26.15,1.9,14.34,16.85,18.65,20.01,22.21,26.17,28.67,30.74,33.54,x
    Quality And Customer Care Managers,114,105,18.08,1.7,20.1,1.7,10.81,13.01,13.89,15.01,16.51,19.84,22.2,23.7,26.21,31.09
      Quality assurance managers,1141,33,18.99,3.5,21.56,5.9,12.95,15.35,16.36,16.67,17.83,20.67,23.08,24.47,27.08,x
      Customer care managers,1142,73,17.41,2.3,19.45,-0.2,9.99,12.27,13.16,14.02,15.57,19.61,21.8,23.2,25.57,x
    Financial Institution And Office Managers,115,438,17.51,0.7,20.74,3.1,9.76,11.9,12.77,13.68,15.5,19.98,22.94,24.67,27.23,35.22
      Financial institution managers,1151,133,21.57,-1.6,25.79,3.7,12.07,14.79,15.82,16.94,19.01,24.29,27.73,30.45,33.25,44.62
      Office managers,1152,305,16.06,1.0,18.61,3.0,9.26,11.1,11.97,12.66,14.21,18.08,20.89,22.49,24.24,30.52
"    Managers In Distribution, Storage And Retailing",116,450,12.25,0.9,14.53,1.0,7.4,8.48,9.01,9.58,10.87,13.61,15.64,16.83,18.52,23.43
      Transport and distribution managers,1161,61,16.63,-0.5,18.26,-3.5,10.24,12,12.82,13.5,14.98,18.56,20.44,21.79,23.07,x
      Storage and warehouse managers,1162,98,12.99,-2.2,14.52,-1.7,7.8,9.07,9.61,10.52,11.98,14.37,16.13,17.3,18.72,22.67
      Retail and wholesale managers,1163,291,11.13,1.9,13.75,3.9,7.09,7.97,8.39,8.9,9.96,12.55,14.03,15.17,16.74,21.46
    Protective Service Officers,117,47,23.23,9.0,23.66,5.0,13.44,15.47,16.62,17.96,20.45,24.71,26.32,28,29.25,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Police officers (inspectors and above),1172,18,27.06,5.3,29.71,5.5,23.71,24.5,24.72,25.19,26.11,28.86,30.24,32.55,35.45,x
"      Senior officers in fire, ambulance, prison and related services",1173,19,18.59,1.3,20.19,-3.9,13.85,x,15.35,15.93,17.28,20.21,21.87,22.17,23.31,x
      Security managers,1174,11,17.48,10.6,20.12,9.1,8.45,12.04,12.98,13.41,15.43,20.11,22.13,x,x,x
    Health And Social Services Managers,118,137,18.94,4.0,20.87,7.2,10.52,13.23,14.49,15.32,17.47,20.66,22.82,23.78,25.38,31.98
      Hospital and health service managers,1181,56,23.13,6.0,26.22,11.2,15.03,17.88,18.8,20.01,21.2,24.55,28.05,29.57,31.34,x
      Pharmacy managers,1182,6,19.1,2.2,19.83,4.7,x,13.27,16.25,17.29,18.52,20.81,21.33,x,x,x
      Healthcare practice managers,1183,9,15.03,-0.5,16.17,2.5,x,10.34,10.87,11.38,13.11,15.82,17.69,x,x,x
      Social services managers,1184,18,19.84,2.2,20.62,3.2,11.58,14.7,15.22,16.26,18.48,21.52,22.73,23.45,24.95,x
      Residential and day care managers,1185,47,15.26,3.1,15.78,1.4,9.2,10.8,11.86,12.72,14.06,16.97,17.83,18.62,19.32,x
   Managers and proprietors in agriculture and services,12,424,13.29,-1.4,16.02,0.6,7.34,8.77,9.38,10.13,11.54,15.14,17.59,19.18,20.97,26.99
"    Managers In Farming, Horticulture, Forestry And Fishing",121,20,13.38,-1.8,14.08,-5.1,8.43,9.7,10.5,11.47,12.36,14.33,15.58,16.97,17.41,x
      Farm managers,1211,13,12.48,0.5,13.15,-7.0,8.42,9.23,9.78,10.39,11.59,13.49,14.44,15.13,x,x
      Natural environment and conservation managers,1212,x,18.69,14.2,18.35,-5.1,x,x,x,x,16.45,18.93,x,x,x,x
"      Managers in animal husbandry, forestry and fishing n.e.c.",1219,x,13.55,8.0,13.84,6.1,x,x,x,x,12.8,14.27,x,x,x,x
    Managers And Proprietors In Hospitality And Leisure Services,122,178,10.35,0.9,11.98,2.6,6.9,7.63,8.17,8.62,9.38,11.54,12.98,13.73,14.87,18.91
      Hotel and accommodation managers,1221,21,11.34,-7.5,14.38,2.0,6.61,7.38,8.34,8.78,9.82,12.91,14.93,15.91,x,x
      Conference and exhibition managers,1222,12,13.71,-4.5,15.56,3.4,9.02,10,10.37,10.72,12.27,15.84,16.76,17.64,x,x
      Restaurant and catering managers,1223,82,9.59,2.2,10.61,2.3,6.85,7.37,7.69,8.18,8.87,10.56,11.79,12.46,13,x
      Publicans and managers of licensed premises,1224,26,8.96,-0.1,9.78,-1.6,6.47,7.01,7.29,7.65,8.39,9.88,11.5,11.94,12.79,x
      Leisure and sports managers,1225,32,12.18,2.8,13.99,5.6,7.41,8.76,9.42,10.04,10.95,13.32,15.33,15.94,17.9,x
      Travel agency managers,1226,5,12.31,3.6,16.15,2.3,x,x,9.64,9.91,10.96,15.55,x,x,x,x
    Managers And Proprietors In Other Service Industries,123,226,16.56,0.9,19.53,1.8,8.57,10.63,11.56,12.75,14.57,18.95,21.27,23.03,24.53,32.63
"      Property, housing and land managers",1231,83,17.72,-0.8,20.87,3.9,9.94,12.4,13.13,14.28,16.11,19.96,22.1,23.74,25.61,x
      Garage managers and proprietors,1232,9,12.87,-2.9,14.72,-13.5,x,10.66,10.86,11.17,11.97,13.99,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1233,x,x,,11.32,-1.3,x,x,x,x,8.09,x,x,x,x,x
      Shopkeepers and wholesale/retail dealers,1234,14,12.75,1.4,19.07,27.9,x,6.99,7.43,8.06,10.42,16.12,x,x,x,x
      Recycling and refuse disposal managers,1235,7,15.47,-3.0,16.77,-8.4,x,12.92,13.03,13.36,14.35,16.27,18.98,x,x,x
      Managers and proprietors in other services n.e.c.,1239,109,16.59,0.0,19.49,-1.1,8.45,10.33,10.95,12.06,14.49,19.03,21.58,23.32,24.47,x
Professional occupations,2,2838,19.75,1.2,21.76,1.2,12.03,14.48,15.4,16.28,18.09,21.62,23.82,25.2,26.9,32.91
   Science and technology professionals,21,890,18.44,1.0,19.72,0.2,11.43,13.6,14.48,15.3,16.78,20.12,22.21,23.4,24.9,29.9
    Science Professionals,211,87,18.61,3.4,20.28,1.4,11.29,13.39,14.3,15.04,16.78,20.54,22.9,23.83,25.18,x
      Chemists,2111,17,16.43,-2.5,18.6,-3.9,10.14,11.86,12.87,13.89,14.93,18,19.65,20.17,x,x
      Biological scientists and biochemists,2112,58,18.67,3.8,19.92,2.2,11.25,13.12,14.29,15.09,16.86,20.62,22.75,23.66,25.03,x
"      Physicists, geologists and meteorologists",2113,13,21.07,3.4,24.11,4.5,13.25,15.2,15.64,16.99,19.42,23.37,25.29,x,x,x
    Engineering Professionals,212,411,17.72,1.8,18.63,0.4,11.38,13.29,14.12,14.95,16.34,19.26,21.07,22.1,23.14,27.12
      Civil engineers,2121,57,16.97,-0.2,17.99,-2.0,10.62,12.63,13.4,13.96,15.63,18.59,20.45,21.91,22.84,x
      Mechanical engineers,2122,40,19.6,6.1,20.7,5.5,12.39,13.99,14.88,15.82,17.66,21.15,23.45,25.08,26.72,x
      Electrical engineers,2123,26,21.04,3.4,21.07,2.7,13.34,15.27,16.19,16.96,19.23,22.28,23.24,25.16,26.45,x
      Electronics engineers,2124,8,21.47,-2.1,22.01,-3.3,x,17.48,19.04,19.43,20.87,22.67,24.68,25.75,x,x
      Chemical engineers,2125,x,x,,22.13,-6.6,x,x,x,x,x,x,x,x,x,x
      Design and development engineers,2126,71,17.38,0.7,18.22,-1.1,11.93,13.41,14.27,15.14,16.35,18.66,20.52,21.86,22.8,26.09
      Production and process engineers,2127,40,16.33,2.0,17.43,2.9,10.33,12.27,13.19,13.83,15.31,17.31,18.94,19.85,21.21,x
      Planning and quality control engineers,2128,38,15.94,4.0,17.1,1.3,10.86,12.52,12.9,13.74,14.94,17.03,18.37,19.62,20.1,x
      Engineering professionals n.e.c.,2129,130,17.86,1.4,18.56,-0.8,11.34,13.33,14.35,15.14,16.63,19.37,20.86,21.63,22.83,26.63
