Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,23865,25971,0.3,31447,-0.6,8787,14120,16669,18689,22185,30259,35582,38900,42557,54742
"Managers, directors and senior officials",1,2595,40096,-3.8,53235,-5.0,16112,23258,26101,28815,34038,46967,56400,62143,70748,96021
  Corporate managers and directors,11,2169,43098,-3.4,56603,-4.6,16717,24536,27681,30455,36644,50898,60533,67521,75504,102000
    Chief executives and senior officials,111,100,73805,0.9,111020,6.2,x,40000,45000,50978,60517,91869,107142,x,x,x
      Chief executives and senior officials,1115,92,81102,1.8,119586,7.0,31468,46512,51764,55156,67483,95630,114412,x,x,x
      Elected officers and representatives,1116,x,x,,18365,,x,x,x,x,x,x,x,x,x,x
    Production managers and directors,112,580,43577,-1.9,53119,-1.5,12000,23861,27996,31906,38195,49987,58829,63905,71163,92698
      Production managers and directors in manufacturing,1121,467,43434,0.2,53968,0.3,10698,22404,26964,30412,37630,50300,60000,65605,73760,97080
      Production managers and directors in construction,1122,106,43537,-6.7,49178,-8.4,18333,27644,32181,34728,39217,48024,53177,58004,64087,x
      Production managers and directors in mining and energy,1123,x,45020,-1.1,55838,,x,x,x,33451,44541,x,x,x,x,x
    Functional managers and directors,113,826,54056,-4.8,66507,-8.9,20000,30624,35000,38758,46259,63176,75084,81850,90054,117404
      Financial managers and directors,1131,314,58028,-2.8,70865,-7.8,21000,31141,36084,40056,48618,69590,81626,89369,99450,129142
      Marketing and sales directors,1132,176,69779,-5.0,78761,-7.5,24000,37424,41741,47000,58390,80977,94418,101445,111248,x
      Purchasing managers and directors,1133,67,46536,-1.0,49556,-7.2,27179,31581,33819,37119,41978,51280,56737,59296,63861,x
      Advertising and public relations directors,1134,14,58948,-1.2,x,,x,x,x,48579,52919,68032,x,x,x,x
      Human resource managers and directors,1135,124,45161,-1.3,49662,-6.0,24940,30732,33752,35734,39517,50000,56229,59848,63651,x
      Information technology and telecommunications directors,1136,64,51637,-25.9,61566,-22.1,9480,12500,x,x,x,60000,71544,78718,x,x
      Functional managers and directors n.e.c.,1139,66,47973,0.7,56449,-6.9,11765,25029,28734,32331,39886,57228,66162,70895,77562,x
    Financial institution managers and directors,115,79,43827,-15.1,64005,-18.1,x,x,32070,33931,38897,49664,x,x,x,x
      Financial institution managers and directors,1150,79,43827,-15.1,64005,-18.1,x,x,32070,33931,38897,49664,x,x,x,x
    Managers and directors in transport and logistics,116,179,32964,-1.6,36417,-2.3,19949,23480,25524,27156,29778,35611,39975,42181,45801,57639
      Managers and directors in transport and distribution,1161,67,37666,-3.2,41990,-5.2,21578,26660,28245,31075,33769,42120,48496,51223,55348,x
      Managers and directors in storage and warehousing,1162,112,30286,0.6,33068,1.7,19157,22522,23886,25680,28169,33236,36080,37806,40250,x
    Senior officers in protective services,117,16,56135,4.6,56910,3.9,x,43928,47402,52367,54637,58496,60370,61867,x,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,11,58734,5.8,62457,6.0,x,54692,55429,55786,57077,60464,62153,x,x,x
"      Senior officers in fire, ambulance, prison and related services",1173,x,43386,-1.5,45446,-2.8,x,x,x,x,41572,x,x,x,x,x
    Health and social services managers and directors,118,57,45000,1.2,47222,2.2,21188,27710,30887,34266,39513,49292,54596,57841,61895,x
      Health services and public health managers and directors,1181,42,48970,4.0,50501,3.7,21298,29530,33146,37764,44977,52246,57601,61080,65031,x
      Social services managers and directors,1184,15,35324,-1.1,37949,-3.1,x,24696,26194,29749,32982,38603,43677,x,x,x
    Managers and directors in retail and wholesale,119,333,27367,-3.2,32382,-4.2,14544,19200,20695,21978,24539,30406,34215,37030,40292,52382
      Managers and directors in retail and wholesale,1190,333,27367,-3.2,32382,-4.2,14544,19200,20695,21978,24539,30406,34215,37030,40292,52382
  Other managers and proprietors,12,427,29805,-3.4,36117,-5.2,14708,19796,21701,23352,26833,33490,38905,41454,44135,54988
    Managers and proprietors in agriculture related services,121,20,31169,2.2,33103,1.3,x,24037,25100,26021,29203,33632,38008,x,x,x
      Managers and proprietors in agriculture and horticulture,1211,15,32768,2.2,34165,2.1,x,x,25789,27751,30437,35178,39103,x,x,x
"      Managers and proprietors in forestry, fishing and related services",1213,x,x,,30025,-0.7,x,x,x,x,x,x,x,x,x,x
    Managers and proprietors in hospitality and leisure services,122,113,24577,-13.5,28432,-13.3,12805,18046,19225,20248,22462,27618,30643,32308,34506,x
      Hotel and accommodation managers and proprietors,1221,20,27251,-11.4,32509,-2.0,17897,19461,20736,21819,24054,30000,32004,x,x,x
      Restaurant and catering establishment managers and proprietors,1223,45,22241,-6.9,22281,-14.7,10269,13504,15855,17515,19914,23245,26572,27727,29482,x
      Publicans and managers of licensed premises,1224,15,24825,-34.0,28584,-25.4,x,19939,20684,22056,23549,28453,31770,x,x,x
      Leisure and sports managers,1225,30,29397,-6.2,34791,-8.8,16645,19448,20600,22191,25650,32315,37420,38876,x,x
      Travel agency managers and proprietors,1226,x,x,,29027,,x,x,x,x,x,x,x,x,x,x
    Managers and proprietors in health and care services,124,68,33564,3.2,34432,2.0,x,24773,26245,27553,30000,37806,41309,42750,44819,x
      Health care practice managers,1241,20,31252,0.2,33820,1.1,17822,23064,26048,27152,28732,35618,41311,42757,x,x
"      Residential, day and domiciliary  care managers and proprietors",1242,48,35414,5.8,34685,2.4,x,x,x,27973,31302,37959,41229,42591,x,x
    Managers and proprietors in other services,125,226,30795,-4.0,40717,-4.1,14668,20503,22148,24063,27836,36311,41873,44543,48801,x
"      Property, housing and estate managers",1251,108,35074,-0.8,42851,-10.5,17620,22903,25022,27087,30040,39699,43218,46641,50816,x
      Garage managers and proprietors,1252,11,34658,,45719,,x,24086,25757,26876,28897,38106,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1253,x,20830,-8.3,22126,0.7,x,x,x,17572,19413,x,x,x,x,x
