Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,21330,21212,-0.5,26564,0.4,6476,11064,12939,14693,17907,25131,29818,32646,35775,46433
Managers and senior officials,1,3364,36189,1.2,48925,3.5,15977,21882,24626,26914,31627,41676,48958,53846,60000,82393
   Corporate managers,11,2933,37828,1.1,51299,3.4,17204,23452,25998,28394,33049,43551,51047,56052,62433,85245
    Corporate Managers And Senior Officials,111,100,72500,-4.7,123568,2.6,19141,32042,39997,48477,60181,85863,103497,118006,143738,x
      Senior officials in national government,1111,6,x,,66877,10.0,x,x,x,x,x,x,x,x,x,x
      Directors and chief executives of major organisations,1112,61,97569,-12.5,172986,0.9,48989,61943,67500,72500,85088,115142,147041,171451,x,x
      Senior officials in local government,1113,20,x,,44686,-6.0,x,x,x,x,x,51456,56968,x,x,x
      Senior officials of special interest organisations,1114,13,34007,8.0,39353,6.5,x,23050,25639,27169,30031,37608,42235,x,x,x
    Production Managers,112,535,40000,0.0,50522,4.6,18931,26000,28643,30951,35349,45387,52603,56901,62505,81980
"      Production, works and maintenance managers",1121,421,39516,-0.1,49452,3.9,18428,25500,28142,30310,34564,45000,52269,56604,62107,82590
      Managers in construction,1122,103,40776,-0.1,52932,7.4,21699,27608,30352,32881,37087,44849,51490,55829,60426,x
      Managers in mining and energy,1123,11,54169,-9.6,69545,5.1,x,36868,37847,41923,50255,63596,x,x,x,x
    Functional Managers,113,1120,45449,1.0,61673,3.0,22193,29969,32573,35021,39812,51991,61203,67271,74516,100454
      Financial managers and chartered secretaries,1131,269,52022,-2.3,82296,3.0,19865,29306,33057,36186,44000,62375,76778,85243,94320,x
      Marketing and sales managers,1132,472,44377,1.3,58322,6.3,21877,29983,32230,34801,39229,51012,59466,64680,70435,95635
      Purchasing managers,1133,35,42096,-4.3,52710,-3.6,26394,31974,33070,35036,38391,48876,55049,61613,68122,x
      Advertising and public relations managers,1134,29,37407,1.0,47842,0.2,20011,24982,26470,29999,34697,42253,47056,x,x,x
"      Personnel, training and industrial relations managers",1135,101,41104,3.5,49176,-0.9,22217,28963,31031,32608,37780,45311,52278,55931,61567,x
      Information and communication technology managers,1136,171,45512,-1.0,51657,0.2,25136,31728,33881,35928,40000,50899,57963,62558,68956,81787
      Research and development managers,1137,42,47096,5.7,55082,4.4,25362,31529,34126,36721,41607,50096,57106,62537,68545,x
    Quality And Customer Care Managers,114,103,34349,1.9,39231,0.8,19413,23909,25762,27513,31730,38100,42735,45072,48600,x
      Quality assurance managers,1141,32,36582,4.0,41965,9.1,x,29728,31035,32705,34335,40301,44323,46412,x,x
      Customer care managers,1142,70,32548,-1.2,37978,-2.9,17872,22723,24063,25788,29311,36635,41969,44932,46758,x
    Financial Institution And Office Managers,115,453,31809,0.9,38144,2.0,14602,19905,21662,23970,27978,36012,41616,45008,49451,64968
      Financial institution managers,1151,124,40050,0.0,51307,3.3,21129,28000,30247,32313,35808,45021,52278,57427,63848,x
      Office managers,1152,328,28764,1.3,33162,1.7,13111,18237,20000,21578,25297,32449,37400,40622,44698,56638
"    Managers In Distribution, Storage And Retailing",116,435,25523,2.1,29963,-0.5,13519,16892,18519,19812,22779,28180,32115,34176,36928,47006
      Transport and distribution managers,1161,60,34223,1.2,40146,-3.7,21616,25922,27060,28113,30600,37732,41178,43849,45801,x
      Storage and warehouse managers,1162,92,27934,-1.7,30687,-1.9,16288,19857,21583,23086,25490,30918,33270,34988,37392,x
      Retail and wholesale managers,1163,283,22884,2.1,27577,2.0,12290,15402,16536,17916,20234,25544,28662,31041,33783,44172
    Protective Service Officers,117,48,46859,10.1,47940,6.0,26986,32023,34423,35889,41411,51446,55414,57500,59950,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Police officers (inspectors and above),1172,17,56619,5.0,57934,2.7,48379,51052,51769,52828,54551,58773,60780,61330,62763,x
"      Senior officers in fire, ambulance, prison and related services",1173,19,39069,1.4,42794,3.1,30768,32031,33119,34515,36267,42254,45288,48164,x,x
      Security managers,1174,11,32111,-2.8,41511,7.0,x,23774,24961,27023,29651,36003,x,x,x,x
    Health And Social Services Managers,118,140,35233,4.6,38567,9.0,17380,22819,25000,27594,30989,39557,42635,44739,48162,58431
      Hospital and health service managers,1181,57,42515,6.0,48413,13.4,22075,30787,33436,35184,39911,44882,51406,54690,58020,x
      Pharmacy managers,1182,7,37869,0.1,37847,0.7,x,x,25383,27036,33853,41688,45098,x,x,x
      Healthcare practice managers,1183,12,25355,2.6,28609,9.9,x,19231,20152,20788,23890,28559,33147,x,x,x
      Social services managers,1184,18,37454,7.2,37594,2.3,18300,24602,28328,30175,34719,40496,43349,45738,47203,x
      Residential and day care managers,1185,47,28919,3.2,29566,1.9,14244,18976,21169,23092,26246,30858,33952,36005,37316,x
   Managers and proprietors in agriculture and services,12,431,26479,0.4,32773,1.7,12000,16222,18000,19672,22866,30357,35000,37790,41630,54182
"    Managers In Farming, Horticulture, Forestry And Fishing",121,20,27578,1.9,29599,0.5,x,19858,23088,24426,25844,30832,32692,34383,x,x
      Farm managers,1211,13,26319,2.7,28882,-1.5,x,19176,20402,22974,24862,29528,32344,x,x,x
      Natural environment and conservation managers,1212,x,34368,,36502,-1.1,x,x,x,x,x,37852,x,x,x,x
"      Managers in animal husbandry, forestry and fishing n.e.c.",1219,x,25721,,25816,5.3,x,x,x,x,25244,27073,x,x,x,x
    Managers And Proprietors In Hospitality And Leisure Services,122,173,20822,0.3,24030,3.7,10714,13856,15145,16584,18990,23582,26785,28344,31141,37505
      Hotel and accommodation managers,1221,20,24848,-3.3,29032,1.0,x,14400,16130,18602,21849,27151,33019,35177,x,x
      Conference and exhibition managers,1222,10,27598,,x,,x,19726,21031,22414,25000,31460,33094,x,x,x
      Restaurant and catering managers,1223,81,19118,3.4,21112,6.0,9704,12454,13702,14877,17015,20891,23461,25124,26662,x
      Publicans and managers of licensed premises,1224,24,20105,2.2,21311,0.1,x,x,15266,16074,17693,21300,24394,26788,x,x
      Leisure and sports managers,1225,33,23790,5.2,27236,9.0,12833,16391,17925,19139,20886,26896,29181,x,x,x
      Travel agency managers,1226,5,x,,29325,0.3,x,x,16884,17532,20280,x,x,x,x,x
    Managers And Proprietors In Other Service Industries,123,238,31953,3.4,39394,3.2,13570,18932,21296,23500,27998,36291,41684,44651,48742,64175
"      Property, housing and land managers",1231,84,34560,4.4,40281,3.2,16443,21910,24327,26799,30145,38180,42595,45237,49264,x
      Garage managers and proprietors,1232,9,28696,,32911,,x,21104,24279,25798,27135,30270,x,x,x,x
