Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,24376,11.14,,14.71,,6.31,7.26,7.81,8.39,9.59,13.08,15.58,17.19,19.01,25
"Managers, directors and senior officials",1,2293,18.35,,23.67,,8.35,10.71,11.96,13.09,15.55,21.65,26.03,28.62,32.62,44.7
  Corporate managers and directors,11,1880,19.73,,25.18,,8.77,11.5,12.78,14.03,16.77,23.33,27.85,30.86,35.04,47.73
    Chief executives and senior officials,111,70,36.46,,46.28,,10.73,17.69,19.94,22.44,29.54,43.28,55.04,59.76,68.65,x
      Chief executives and senior officials,1115,66,39.41,,48.04,,11.99,19.23,21.72,24,32.25,45.5,56.99,62.98,71.01,x
      Elected officers and representatives,1116,5,x,,17.05,,x,x,8.69,9.41,x,x,x,x,x,x
    Production managers and directors,112,502,19.52,,23.51,,9.92,12.93,13.94,15.2,17.25,22.4,26.35,28.37,31.51,41.77
      Production managers and directors in manufacturing,1121,395,20.2,,24.33,,10.01,13.17,14.29,15.41,17.63,23.4,27.24,29.39,32.94,43.15
      Production managers and directors in construction,1122,101,17.68,,20.16,,9.24,11.93,12.87,13.76,15.81,19.36,22.16,23.84,26.83,33.35
      Production managers and directors in mining and energy,1123,6,19.57,,26.85,,x,16.52,18.18,18.58,18.96,21.34,x,x,x,x
    Functional managers and directors,113,608,26.81,,32.48,,12.5,16.28,18.03,19.71,23.13,31.08,36.68,39.82,43.69,56.91
      Financial managers and directors,1131,237,27.25,,34.57,,12.56,16.68,18.6,20.09,23.62,31.6,38.33,41.29,46.09,62.32
      Marketing and sales directors,1132,147,32.03,,35.95,,14.12,19.19,21.34,23.68,27.34,35.96,41.07,44.11,47.52,63.09
      Purchasing managers and directors,1133,40,21.57,,24.45,,13.13,15.88,16.84,17.72,19.34,23.92,26.78,28.61,30.69,x
      Advertising and public relations directors,1134,8,34.79,,41.71,,x,18.64,23.59,25.88,31.69,37.57,x,x,x,x
      Human resource managers and directors,1135,87,22.92,,26.9,,12.77,15.37,16.78,17.78,20.39,25.66,29.54,31.71,34.11,45.33
      Information technology and telecommunications directors,1136,30,31.4,,33.8,,10.99,18.13,21.69,23.19,28.14,36.92,39.63,41.2,45.96,x
      Functional managers and directors n.e.c.,1139,59,22.3,,27.17,,9.55,12.67,13.68,15.11,17.25,26.42,30.73,35.91,40.65,x
    Financial institution managers and directors,115,105,22.71,,31.55,,10.71,14.05,15.2,16.52,18.7,28.11,33.14,37.62,43.13,x
      Financial institution managers and directors,1150,105,22.71,,31.55,,10.71,14.05,15.2,16.52,18.7,28.11,33.14,37.62,43.13,x
    Managers and directors in transport and logistics,116,152,14.37,,16.5,,8.57,10.15,10.9,11.51,12.98,16.27,18.4,19.86,21.81,26.18
      Managers and directors in transport and distribution,1161,66,16.32,,18.03,,9.53,11.27,12.3,13.12,14.42,18.3,20.68,22.26,23.63,x
      Managers and directors in storage and warehousing,1162,86,13.12,,15.3,,8.14,9.52,10.02,10.74,11.95,14.56,16.73,17.94,19.33,x
    Senior officers in protective services,117,29,25.43,,26.06,,15.98,20.34,21.01,22.1,24.32,26.45,28.3,29.35,30.05,x
      Officers in armed forces,1171,:,,,,,,,,,,,,,,
      Senior police officers,1172,17,27.14,,30.01,,23.72,25.08,25.14,25.68,26.3,29.02,29.92,30.84,34.57,x
"      Senior officers in fire, ambulance, prison and related services",1173,12,20.78,,20.88,,13.85,15.26,16.27,16.61,19.13,21.88,22.57,23.75,x,x
    Health and social services managers and directors,118,67,21.96,,25.12,,13.07,16.65,17.49,18.59,20.51,23.89,27.01,27.96,29.89,x
      Health services and public health managers and directors,1181,51,23.02,,26.19,,13.04,16.68,17.87,19.18,20.83,25,27.84,28.79,32.14,x
