Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,24385,11.2,0.5,14.8,1.3,6.34,7.31,7.88,8.46,9.67,13.19,15.68,17.31,19.14,25.1
Managers and senior officials,1,3866,18.73,0.8,23.13,2.4,9,11.5,12.77,13.9,16.25,21.55,25.17,27.65,30.85,41.35
   Corporate managers,11,3390,19.65,1.2,24.22,2.6,9.62,12.46,13.61,14.8,17.16,22.58,26.44,28.76,32.28,42.9
    Corporate Managers And Senior Officials,111,112,40.7,5.9,50.87,9.0,13.28,19.02,22.99,26.39,33.8,47.8,57.26,63.86,71.13,92.87
      Senior officials in national government,1111,7,34.38,-4.5,36.4,-13.3,x,x,x,x,30.72,36.92,x,x,x,x
      Directors and chief executives of major organisations,1112,72,52.68,7.0,63.45,8.4,24.74,34.59,38.32,40.7,45.18,60.23,71.13,74.84,82.24,x
      Senior officials in local government,1113,20,19.26,-2.9,25.83,-0.4,9.25,11.35,12.96,13.96,16.89,24.81,28.33,30.01,x,x
      Senior officials of special interest organisations,1114,14,17.91,1.4,22.12,2.9,10.7,13.68,14.33,15.43,16.96,20.5,22.74,x,x,x
    Production Managers,112,609,20.11,3.1,23.94,4.3,10.26,13.36,14.49,15.62,17.71,23.14,26.86,28.79,32.03,41.55
"      Production, works and maintenance managers",1121,496,20.35,3.9,24.17,5.7,10.14,13.29,14.49,15.56,17.73,23.48,27.15,29.24,33.04,42.44
      Managers in construction,1122,103,19.16,0.6,22.12,-2.1,10.8,13.34,14.32,15.62,17.32,21.08,24.16,26.37,28.13,x
      Managers in mining and energy,1123,10,27.15,15.3,31.42,3.8,x,18.77,19.66,20.26,23.53,30.81,36.68,x,x,x
    Functional Managers,113,1356,23.2,-0.1,27.83,0.3,12.27,15.54,16.86,18.16,20.53,26.51,30.67,33.46,36.79,47.23
      Financial managers and chartered secretaries,1131,313,27.81,1.4,34.97,3.2,13.69,17.89,19.83,21.26,24.48,32.89,38.71,42.07,46.75,62.48
      Marketing and sales managers,1132,631,21.56,-1.8,25.56,-1.6,11.22,14.36,15.69,16.87,19.16,24.56,28.61,31.18,34.33,43.44
      Purchasing managers,1133,39,22.14,2.4,25.5,0.9,13.12,16.21,17.07,17.72,19.71,24.73,28.14,30.29,33.69,x
      Advertising and public relations managers,1134,34,20.82,0.4,24.8,-8.2,11.57,14.23,15.6,16.47,18.33,22.85,25.96,28.23,31.75,x
"      Personnel, training and industrial relations managers",1135,115,21.9,0.9,25.48,0.6,12.78,15.49,16.46,17.63,19.62,24.06,27.18,29.4,31.94,42.55
      Information and communication technology managers,1136,180,23.89,1.5,26.64,3.2,13.48,16.67,18.12,19.05,21.1,26.94,30.5,32.64,35.07,41.96
      Research and development managers,1137,43,24.27,2.0,26.82,3.3,14.11,16.93,18.93,19.72,21.79,26.9,29.18,31.59,34.47,x
    Quality And Customer Care Managers,114,114,17.61,-1.8,20.2,1.1,10.46,12.53,13.52,14.4,16.03,19.94,22.07,23.61,25.18,31.62
      Quality assurance managers,1141,34,19.47,2.4,21.46,-0.1,13.02,15.1,16.08,16.94,17.85,20.64,22.57,24.44,25.41,x
      Customer care managers,1142,79,16.62,-2.4,19.65,1.7,10.05,11.65,12.52,13.43,15.23,19.15,21.9,23.08,25.15,x
    Financial Institution And Office Managers,115,508,17.12,1.0,21.48,5.5,9.55,11.53,12.58,13.45,15.15,19.42,22.69,24.49,27.29,36.03
      Financial institution managers,1151,134,22.32,5.5,28.55,11.7,12.34,15.16,16.23,17.47,19.46,25.53,30.12,32.69,36.13,x
      Office managers,1152,374,15.64,1.7,18.91,3.3,9.17,10.86,11.72,12.56,14.06,17.71,20.31,22.07,23.79,31.04
"    Managers In Distribution, Storage And Retailing",116,496,12.13,0.6,14.21,-1.3,7.27,8.31,8.85,9.49,10.77,13.63,15.35,16.64,18.25,23.07
      Transport and distribution managers,1161,59,16.87,1.7,18.34,0.7,9.99,11.78,12.74,13.42,15.09,19.12,20.76,22.22,23.58,x
      Storage and warehouse managers,1162,102,13.46,3.9,14.89,2.8,8.49,9.62,10.36,10.99,12.22,14.75,16.39,17.37,18.7,22.56
