Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,20066,17.48,6.6,20.83,6.7,11.31,12.55,13.25,13.97,15.55,19.92,22.9,24.69,26.96,34.21
"Managers, directors and senior officials",1,2583,24.77,6.3,30.27,6.1,13.09,15.59,16.91,18.4,21.46,28.79,34.43,38.27,42.39,54.46
 Corporate managers and directors,11,2048,28.01,8.7,33.19,7.0,13.98,17.28,19.09,20.73,24.34,32.44,38.39,42,46.32,58.54
  Chief Executives and Senior Officials,111,106,42.77,6.9,49.11,1.3,19.72,26.12,28.32,31.52,37.44,47.3,53.73,56.94,60.43,x
   Chief executives and senior officials,1111,101,43.2,6.9,50.22,1.4,20.88,27.09,29.2,32.84,38,47.92,54.41,57.49,61.05,x
   Elected officers and representatives,1112,x,x,,27.01,,x,x,x,x,x,x,x,x,x,x
  Production Managers and Directors,112,632,25.86,9.9,30.12,10.3,14.37,17.72,19.15,20.37,23.24,29.09,33.5,36.81,40.38,51.1
   Production managers and directors in manufacturing,1121,516,26.43,11.7,31.1,11.8,14.26,17.76,19.16,20.6,23.51,30.35,35.62,38.61,42.18,53.62
   Production managers and directors in construction,1122,105,24.4,4.5,25.29,3.4,14.37,17.14,18.75,19.53,21.62,26.37,28.37,29.86,31.69,37.27
   Production managers and directors in mining and energy,1123,11,24.07,5.7,32.53,6.4,x,19.11,19.63,20.44,22.74,26.51,x,x,x,x
  Functional Managers and Directors,113,927,34.23,5.2,39.12,4.7,17.82,22.39,24.36,26,29.89,39.23,45.29,48.63,52.05,65.66
   Financial managers and directors,1131,382,36.65,6.3,42.76,6.9,17.78,22.23,24.44,26.73,31.28,42.54,49.79,53.67,58.82,74.48
"   Marketing, sales and advertising directors",1132,211,40.72,2.2,41.98,-1.2,20.44,26.19,28.73,30.77,36.18,45.5,50.39,52.51,56.06,64.16
   Public relations and communications directors,1133,13,42.09,15.9,45.08,8.7,x,30.02,32.5,35.39,39.1,43.89,45.9,x,x,x
   Purchasing managers and directors,1134,55,25.72,3.3,27.07,2.0,15.33,18.04,19.99,21.5,23.93,28.99,32.29,33.59,34.24,x
   Charitable organisation managers and directors,1135,x,23.3,16.2,23.55,7.4,x,x,x,x,20.28,24.11,x,x,x,x
   Human resource managers and directors,1136,144,26.47,6.3,28.94,4.7,16.39,19.26,21.26,22.41,24.63,28.86,31.61,33.67,35.39,42.1
   Information technology directors,1137,44,41.13,9.2,43.43,9.6,22.99,28.75,30.92,32.14,36.54,45.55,49.27,51.61,54.4,x
   Functional managers and directors n.e.c.,1139,74,35.19,8.6,38.73,4.4,18.22,23,25.26,27.33,29.98,39.6,43.08,45.45,48.33,x
"  Directors in Logistics, Warehousing and Transport",114,11,37.79,,41.39,6.0,x,x,24.19,29.25,33.94,43.38,x,x,x,x
"   Directors in logistics, warehousing and transport",1140,11,37.79,,41.39,6.0,x,x,24.19,29.25,33.94,43.38,x,x,x,x
