Description,Code,No_jobs,Median,change,Mean,change.1,10,20,25,30,40,60,70,75,80,90
All employees,XX,24263,11.14,1.1,14.6,1.5,6.27,7.28,7.85,8.41,9.62,13.08,15.58,17.19,19.01,24.85
Managers and senior officials,1,3738,18.58,1.9,22.6,1.9,8.85,11.45,12.62,13.78,16.1,21.31,24.89,27.12,30.09,40.18
   Corporate managers,11,3258,19.41,1.3,23.61,1.9,9.56,12.27,13.49,14.71,17.03,22.21,25.91,28.23,31.27,41.47
    Corporate Managers And Senior Officials,111,110,38.45,0.4,46.65,-1.2,12.56,17.88,21.44,24.71,31.76,43.79,52.15,57.21,65.05,85.72
      Senior officials in national government,1111,7,35.99,20.5,41.99,32.9,x,x,x,x,x,37.99,x,x,x,x
      Directors and chief executives of major organisations,1112,67,49.24,-1.2,58.52,-5.8,25.14,33.14,36.68,38.93,43.33,55.22,64.78,70,77.05,x
      Senior officials in local government,1113,22,19.83,-10.3,25.94,-5.5,8.65,11.56,13.65,14.83,17.35,26.57,29.88,31.01,x,x
      Senior officials of special interest organisations,1114,14,17.66,6.0,21.5,4.7,10.05,12.99,13.46,14.9,16.33,19.76,22.48,x,x,x
    Production Managers,112,587,19.51,0.1,22.95,1.8,10.23,13.21,14.42,15.39,17.38,22.27,25.8,27.6,30.25,38.79
"      Production, works and maintenance managers",1121,463,19.58,0.1,22.86,1.6,10.15,13.1,14.37,15.33,17.29,22.3,25.83,27.75,30.26,38.88
      Managers in construction,1122,113,19.06,-0.5,22.58,2.7,10.79,13.48,14.46,15.79,17.27,21.64,24.71,26.68,28.88,36.08
      Managers in mining and energy,1123,11,23.55,0.7,30.28,2.2,x,17.13,18.73,19.53,21.82,28.21,x,x,x,x
    Functional Managers,113,1257,23.23,0.5,27.74,2.2,12.57,15.7,17.09,18.35,20.63,26.42,30.54,33.21,36.23,46.62
      Financial managers and chartered secretaries,1131,304,27.42,-0.7,33.88,2.4,13.09,16.97,18.77,20.47,23.95,32,37.64,41.07,45.14,58.82
      Marketing and sales managers,1132,536,21.95,1.3,25.97,2.8,11.72,14.89,16.35,17.55,19.65,24.96,28.65,31.2,34.41,43.86
      Purchasing managers,1133,39,21.62,-6.0,25.28,-1.9,13.13,15.93,17.09,17.67,19.65,24.73,27.78,30.03,33.87,x
      Advertising and public relations managers,1134,32,20.75,7.9,27.02,8.2,12.44,14.73,15.5,16.92,19.17,22.26,25.17,27.26,30.37,x
"      Personnel, training and industrial relations managers",1135,113,21.71,2.7,25.33,4.0,12.76,15.41,16.57,17.81,19.72,24.38,27.45,29.54,32.02,41.72
      Information and communication technology managers,1136,189,23.53,0.1,25.8,-0.4,13.44,16.71,17.88,18.67,20.91,26.19,29.49,31.57,33.88,40.97
