SIC07,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
38,"Waste collection, treatment and disposal activities",3963,3742,4172,4366,4038,4786,4597,5178,5616,6131,6127,5933,6402,6986,6553,5900,6536,6759,6571,7576,7561,7555,7357,8962,9593
39,Remediation and other waste management services,76,83,78,97,96,93,91,101,98,106,91,106,126,132,193,218,314,389,359,364,417,420,442,554,627
41,Construction of buildings,16816,18832,20820,22348,25175,27364,28090,30876,31576,33406,31991,23229,24801,25906,25137,28009,28946,33637,35240,38251,42179,43782,36356,40654,47247
42,Civil engineering,9202,10323,11185,12001,12263,12902,14113,15004,15978,17106,18013,17219,16454,16625,18137,18984,19962,21195,21265,22017,23336,23254,22017,22482,26126
43,Specialised construction activities,20653,22920,24905,26314,27992,30000,31848,35604,37947,41028,43177,36782,37007,38814,39365,42423,47055,50099,51563,54719,54657,57360,49194,56784,65710
45,Motor trades,14079,14518,15099,17854,18255,20119,19995,21416,21257,23325,23141,19163,22959,22349,21951,21454,23877,26052,24188,27501,27725,28346,23282,28115,29725
46,Wholesale trade,41552,41957,41910,45177,43600,45701,47556,48630,51161,54391,56189,56057,56526,54733,55176,54210,58386,58049,59455,64808,70963,77759,77205,83958,91251
47,Retail trade,53751,56450,58688,61761,64937,65988,68284,69599,74106,74421,75284,76955,78381,78646,82608,86404,89133,91005,91094,94835,95489,98310,96514,105616,113287
49,Land transport,16624,17770,18468,19467,19264,19779,20222,20379,21204,23185,22664,22093,23225,23642,23137,24372,25669,26197,27597,27574,28489,31079,18815,21644,28085
50,Water transport,2151,2683,3707,3809,3285,3836,5133,4921,3983,3631,4910,3278,3506,5062,5139,5772,5445,6195,6439,6434,6193,6653,3379,3859,5273
51,Air transport,3843,4222,4160,3913,4128,4365,4369,4474,4171,3917,3962,2568,3094,3140,2979,3368,3951,4466,4663,4815,4816,5596,2766,2571,5809
52,Warehousing and transport support activities,10343,10219,10455,11433,11893,12878,13523,13721,14967,15567,17364,16902,18384,18919,18998,19256,20990,21844,21738,23163,24016,25282,22516,24328,25366
53,Postal and courier activities,6906,7381,7982,8221,8243,8652,8581,9418,9797,9748,10181,10408,10424,10314,11483,12044,10647,10393,11011,11347,11786,12362,13615,14069,14407
55,Accommodation,5035,5500,5667,5785,6406,7347,7955,8749,9525,9718,9178,8132,8818,9919,10983,12062,12645,13483,15098,16005,16636,17788,8926,13912,21000
56,Food and beverage service activities,18154,18907,20238,21053,22336,23209,24819,26598,26469,27866,28381,26229,28095,29758,30273,31404,33051,34317,36526,38999,40626,42207,28583,37637,49628
58,Publishing activities,8928,8769,9352,9119,9037,9157,9599,9721,9368,10224,10084,9598,9969,10567,10215,10424,11052,10977,11743,11504,11577,11277,11758,12108,13347
59,"Motion picture, video and TV programme production",4840,5423,5786,5927,5863,6645,7177,7413,6771,7452,8765,9056,9020,9405,9996,11030,10608,11656,12175,12734,13239,13102,11501,13242,14690
60,Programming and broadcasting activities,2861,3066,3603,3937,4312,4497,4677,4758,4976,5338,6056,6346,6690,6726,7243,7216,7399,7736,8469,7555,6801,7175,6730,6675,7077
61,Telecommunications,17346,19008,21305,21304,22638,23397,24858,24943,25499,27214,27341,27005,26058,28022,28099,28193,29657,30452,32937,33353,33550,34089,34073,33511,34080
62,Computer programming and consultancy,12883,13772,15319,17146,18653,22605,23100,25878,25996,29761,31027,29970,31323,33382,34125,33791,36663,37447,41608,43504,46064,51007,53168,57005,67479
63,Information service activities,3764,3871,4711,4967,5049,5063,5324,5760,6002,6651,6449,6041,6227,6376,6748,7379,7493,7414,7796,7942,8476,8435,8335,8703,9908
64,Financial service activities,35954,35788,36235,36722,41930,46913,55233,60657,71129,77063,73550,81337,85940,84342,78106,79051,77909,80560,86370,88146,86185,83231,84701,85964,94297
65,Insurance and pension funding,19898,20222,19804,20618,17400,17872,21326,29000,28822,29333,26151,31350,27781,28279,32003,32762,37952,27102,30009,33542,30626,30812,30117,36079,40471
66,Activities auxiliary to finance and insurance,6989,7761,9280,9339,10947,12059,11694,12110,14322,18363,20558,24158,25361,25083,26878,29647,30218,32381,36610,43221,46218,49469,51699,63391,67086
68,"Real estate activities, excluding imputed rental",25334,25600,26251,27219,29308,31086,30658,33929,35779,38851,43417,44576,46241,52448,60109,63344,67858,72282,74353,75720,77088,79296,76627,77580,80382
68IMP,Owner-occupiers' imputed rental,104103,110168,114405,117070,117213,120515,124231,127329,134011,137273,146039,127313,122152,125015,133948,136078,146826,156339,166622,168008,180292,182966,180543,188556,200122
69,Legal and accounting activities,16848,18494,19986,20870,21558,23160,25573,26862,29891,30976,31909,33611,35022,36213,37875,40872,42762,44805,46938,49746,50899,53624,53004,60932,67153
70,Head offices and management consultancy,6840,6937,8147,9379,9687,10761,10429,10995,11819,13355,15202,15121,15646,16438,16341,18319,19893,20048,21743,22712,23238,24945,23395,27263,31558
