Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
Sewerage ,37,22,19.6,18.4,22.08,15.7,12.96,14.95,16.94,17.65,18.88,21.29,25.81,27.8,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,100,15.11,7.1,17.21,4.6,11.33,12.29,12.71,13.18,13.97,16.49,18.44,19.54,20.61,26.41
Remediation activities and other waste management services ,39,x,14.46,,15.58,-12.3,x,x,x,x,13.6,15.52,x,x,x,x
CONSTRUCTION ,F ,854,17.89,5.8,20.98,6.2,11.62,13.23,14,14.86,16.25,20.03,22.84,24.99,27.45,34.27
Construction of buildings ,41,289,20.27,5.7,24.13,6.5,12,13.78,14.71,15.75,17.72,23.6,27.56,29.82,32.53,41.15
Civil engineering ,42,143,18.34,-3,21.02,-0.8,12.01,13.78,14.5,15.16,16.39,20.7,23.46,26.35,28.27,34.5
Specialised construction activities ,43,422,16.93,7.8,18.87,8.4,11.45,12.86,13.42,14.25,15.59,18.31,20.38,21.61,23.29,28.74
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"2,369",14.54,9.6,17.75,8.6,10.8,11.5,11.95,12.33,13.33,16.09,18.23,19.86,21.9,29.56
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,407,14.32,6.6,16.41,7.5,10.5,11.46,11.96,12.39,13.3,15.38,16.88,17.79,19.15,23.98
"Wholesale trade, except of motor vehicles and motorcycles ",46,970,16.04,9.9,19.53,8.1,11.07,12.16,12.64,13.21,14.45,18.04,20.79,22.86,25.42,33.34
"Retail trade, except of motor vehicles and motorcycles ",47,992,13.5,10.1,16.58,8.7,10.66,11.14,11.48,11.77,12.5,14.75,16.61,17.88,19.71,26.64
TRANSPORTATION AND STORAGE ,H ,923,16.03,5.6,18.81,5.6,11.69,12.88,13.38,13.91,14.72,17.71,19.98,21.46,23.86,31.58
Land transport and transport via pipelines ,49,349,16.13,6.5,18.54,5.4,11.84,12.95,13.37,13.86,14.87,17.69,19.88,21.17,23.93,32.25
Water transport ,50,14,22.92,22.9,26.94,8,12,15.18,16.19,17.85,20.21,24.79,x,x,x,x
Air transport ,51,33,16.84,-2.8,22.97,-3,12.3,13.01,13.54,14.37,15.63,20.37,24.44,27.7,x,x
Warehousing and support activities for transportation ,52,350,16.18,1.9,19.39,5.4,11.32,12.37,12.96,13.5,14.72,18.27,21,22.94,25.29,32.38
Postal and courier activities ,53,177,15.04,4.6,16.93,6.6,12.29,13.67,13.93,14.09,14.42,16.44,18.28,19.05,19.9,23.08
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I ,581,12.33,9.8,14.18,8.1,10.42,10.78,11,11.22,11.8,13.01,14.05,14.78,15.61,19.2
Accommodation ,55,175,12.73,10.7,15.08,9,10.51,11.08,11.35,11.56,12,13.63,14.65,15.44,16.84,21.42
Food and beverage service activities ,56,406,12.09,9.2,13.79,7.6,10.42,10.66,10.9,11.04,11.6,12.86,13.79,14.43,15.23,18.17
