Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
"Water collection, treatment and supply ",36,50,"38,844",1.7,"42,990",5.7,"26,734","30,479","32,410","33,791","36,018","43,516","46,611","48,012","49,970",x
Sewerage ,37,18,"39,222",9.2,"42,077",11.9,"24,051","27,036","29,819","31,849","37,023","43,599","46,808",x,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,89,"33,943",8.1,"37,760",4.5,"22,422","24,980","26,684","27,970","30,452","37,261","40,855","42,473","45,528",x
Remediation activities and other waste management services ,39,x,x,,"35,762",1.5,x,x,x,x,x,x,x,x,x,x
CONSTRUCTION ,F ,735,"38,005",4.7,"44,719",4.9,"22,729","26,828","28,843","30,437","34,015","42,438","48,414","52,301","57,117","72,000"
Construction of buildings ,41,247,"42,080",2.7,"51,975",3.2,"23,133","27,425","29,665","31,846","36,985","48,636","57,384","63,867","68,026",x
Civil engineering ,42,120,"39,883",-4.0,"45,335",-2.4,"23,908","29,000","30,271","32,071","35,996","45,215","51,459","54,871","59,372",x
Specialised construction activities ,43,369,"35,455",5.9,"39,667",9.2,"22,273","26,000","27,793","29,373","32,724","39,486","43,147","46,619","49,431","61,306"
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"2,092","29,963",7.4,"37,015",6.8,"19,386","22,090","23,363","24,591","27,040","33,344","38,296","41,505","45,653","60,747"
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,358,"31,200",6.1,"35,332",5.7,"20,873","23,904","24,977","26,070","28,523","33,757","36,937","39,364","42,142",x
"Wholesale trade, except of motor vehicles and motorcycles ",46,850,"33,429",5.8,"42,177",5.5,"21,744","24,589","25,888","27,200","30,052","38,189","43,942","48,180","53,878","69,988"
"Retail trade, except of motor vehicles and motorcycles ",47,884,"26,383",8.0,"32,729",7.7,"17,400","20,000","20,928","21,876","24,000","29,246","33,212","36,000","40,000","52,609"
TRANSPORTATION AND STORAGE ,H ,814,"34,899",2.3,"39,775",2.2,"23,090","25,913","27,129","28,663","31,375","38,733","43,466","46,038","49,713","63,119"
Land transport and transport via pipelines ,49,301,"37,829",8.0,"41,361",5.9,"24,022","27,573","29,308","30,913","34,340","41,240","45,048","47,804","52,330","65,045"
Water transport ,50,11,"42,998",5.5,"51,863",,x,"25,423","28,640","31,472","37,108","52,484",x,x,x,x
Air transport ,51,27,"34,710",,"45,562",0.8,"23,111","24,605","25,153","27,610","30,047","41,437",x,x,x,x
Warehousing and support activities for transportation ,52,307,"34,508",-1.2,"39,965",-0.2,"22,080","25,052","26,289","27,830","30,847","38,553","44,129","46,604","50,004",x
Postal and courier activities ,53,168,"30,857",-1.3,"34,858",0.9,"24,109","25,654","26,372","27,128","28,942","33,101","36,494","38,963","41,956","51,086"
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I ,407,"25,522",10.5,"29,185",10.2,"15,764","19,135","20,349","21,458","23,281","27,677","30,576","32,635","35,378","45,002"
