Description,Code,Jobs,Median,Change,Mean,Change,10,20,25,30,40,60,70,75,80,90
"Water collection, treatment and supply ",36,88,17.31,0.9,19.04,1.8,10.52,12.41,13.10,14.01,15.55,18.97,20.55,22.12,23.30,x
Sewerage ,37,10,11.97,-4.2,12.87,-5.6,x,9.26,9.92,10.59,11.11,13.01,14.01,x,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,96,12.45,-3.1,15.28,-2.6,8.70,9.77,10.08,10.54,11.41,13.75,16.14,17.54,19.23,x
Remediation activities and other waste management services ,39,x,x,,17.03,9.3,x,x,x,x,12.40,x,x,x,x,x
CONSTRUCTION ,F ,967,14.29,-3.5,17.15,-2.6,8.72,10.00,10.72,11.50,12.85,15.80,18.29,20.00,22.31,29.12
Construction of buildings ,41,320,15.46,-2.8,19.41,-3.1,9.19,10.61,11.53,12.35,13.81,17.82,21.73,23.80,25.93,34.50
Civil engineering ,42,147,15.68,-0.1,18.51,1.2,9.67,11.34,12.02,12.81,14.00,18.02,20.36,22.14,23.98,30.81
Specialised construction activities ,43,499,13.28,-4.9,15.27,-2.2,8.33,9.55,10.00,10.62,12.00,14.50,16.37,17.51,19.13,24.52
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"3,663",10.32,1.2,14.02,-0.8,8.17,8.81,9.00,9.20,9.68,11.50,13.20,14.40,16.02,22.88
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,473,11.08,-3.7,12.84,-6.0,7.26,8.52,8.79,9.14,10.00,12.05,13.41,14.14,15.06,19.33
"Wholesale trade, except of motor vehicles and motorcycles ",46,"1,063",12.80,-3.4,16.61,-2.5,8.62,9.35,9.89,10.34,11.50,14.62,17.24,19.17,21.66,30.59
"Retail trade, except of motor vehicles and motorcycles ",47,"2,128",9.69,4.2,12.68,2.1,8.14,8.75,8.97,9.05,9.31,10.22,11.22,12.22,13.50,18.99
TRANSPORTATION AND STORAGE ,H ,924,13.46,1.0,16.76,3.6,8.80,10.00,10.46,11.07,12.27,15.32,18.05,19.83,22.69,30.13
Land transport and transport via pipelines ,49,500,12.99,1.5,16.13,5.4,8.80,9.96,10.38,10.92,11.99,14.73,17.12,18.75,21.33,30.13
Water transport ,50,12,14.77,-12.1,19.86,-7.2,x,10.59,11.39,11.60,13.25,x,x,x,x,x
Air transport ,51,18,15.23,-6.3,21.91,-4.1,10.22,11.02,11.25,11.89,13.02,18.34,x,x,x,x
Warehousing and support activities for transportation ,52,324,14.61,-1.8,17.89,0.2,8.72,10.00,10.68,11.50,12.93,16.99,19.79,21.59,24.05,31.34
Postal and courier activities ,53,70,12.38,-4.5,14.45,-0.8,8.75,9.67,10.10,10.64,11.97,12.98,14.08,14.88,15.58,x
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I ,"1,077",8.72,0.9,10.63,-1.4,6.25,6.92,7.20,7.67,8.31,9.00,9.65,10.06,10.88,14.24
