Description,Code,Jobs,Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90
"Water collection, treatment and supply ",36,52,"38,464",2.6,"42,145",6.0,"25,778","30,071","31,383","33,131","35,345","42,437","45,701","47,817","49,280",x
Sewerage ,37,20,"38,754",8.9,"40,487",10.8,"21,439","26,296","27,341","30,641","35,861","41,147","45,969",x,x,x
"Waste collection, treatment and disposal activities; materials recovery ",38,96,"32,781",9.3,"36,224",6.1,x,"23,866","25,176","26,774","29,448","36,509","39,817","41,596","44,687",x
Remediation activities and other waste management services ,39,x,x,,"31,838",-4.1,x,x,x,x,x,x,x,x,x,x
CONSTRUCTION ,F ,861,"34,755",3.6,"40,332",4.9,"12,576","22,308","24,692","26,736","30,901","39,764","45,299","48,994","53,916","69,433"
Construction of buildings ,41,284,"38,543",4.2,"47,110",3.1,x,"23,127","25,678","27,737","32,450","44,008","53,324","58,488","65,731",x
Civil engineering ,42,130,"38,528",-4.7,"43,185",-1.9,"20,932","26,004","28,912","30,327","34,215","43,640","48,966","53,940","58,259",x
Specialised construction activities ,43,447,"32,864",7.3,"35,196",8.8,x,"20,407","23,061","25,181","29,000","36,299","40,670","43,335","47,144",x
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"3,062","24,361",9.9,"29,177",7.7,"8,212","12,329","14,640","17,087","21,101","27,899","32,292","35,100","39,047","52,931"
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,412,"29,590",7.9,"32,667",6.6,"14,595","21,024","22,754","24,152","26,692","32,631","35,462","37,788","40,506",x
"Wholesale trade, except of motor vehicles and motorcycles ",46,953,"31,554",6.8,"39,407",6.1,"17,528","22,553","23,981","25,425","28,276","35,957","41,974","45,537","51,365","66,949"
"Retail trade, except of motor vehicles and motorcycles ",47,"1,697","18,632",8.9,"22,582",7.6,"6,399","9,275","10,632","12,000","15,069","21,590","25,248","27,482","30,121","41,052"
TRANSPORTATION AND STORAGE ,H ,944,"32,343",1.3,"36,821",2.9,"18,169","23,507","24,997","26,203","29,211","36,480","41,180","44,123","47,247","60,495"
Land transport and transport via pipelines ,49,349,"35,483",8.9,"37,907",7.2,"15,970","24,140","26,002","27,875","31,562","39,295","43,365","45,777","49,468","62,908"
Water transport ,50,13,x,,"46,848",,x,"23,316","24,569","25,663","31,715",x,x,x,x,x
Air transport ,51,34,"30,001",,"41,366",7.0,"19,305","23,079","24,348","24,605","27,079","35,379",x,x,x,x
Warehousing and support activities for transportation ,52,339,"32,723",-2.9,"37,865",0.1,"19,693","23,206","24,639","26,078","29,232","37,105","42,194","45,460","48,497",x
Postal and courier activities ,53,210,"28,963",-2.7,"31,992",0.2,"18,999","23,299","24,744","25,444","26,904","31,211","34,327","36,225","39,364","48,185"
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I ,874,"15,080",-2.0,"18,712",2.9,"4,402","7,240","8,292","9,621","11,982","19,079","23,000","25,000","27,282","34,996"
Accommodation ,55,222,"19,707",1.9,"22,591",1.9,"6,298","9,481","10,949","12,344","15,988","22,666","26,114","28,078","30,611",x
Food and beverage service activities ,56,652,"13,648",-2.8,"17,392",2.3,"3,974","6,524","7,791","8,847","11,144","17,314","21,703","23,829","26,006","33,012"
INFORMATION AND COMMUNICATION ,J ,961,"42,876",5.4,"50,227",7.2,"21,006","27,448","30,000","32,696","37,357","49,058","56,448","61,479","67,477","86,363"
Publishing activities ,58,80,"36,092",5.1,"42,976",2.0,"22,502","26,250","27,986","30,144","33,527","41,549","45,319","48,940","52,545",x
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,53,x,,x,,"7,168","11,903",x,"21,817","28,091",x,x,x,x,x
Programming and broadcasting activities ,60,34,"46,268",5.6,"48,694",6.4,"27,333","32,301","35,194","39,660","44,117","49,379","53,223","54,925",x,x
Telecommunications ,61,221,"43,522",5.9,"50,545",8.4,"25,231","30,751","33,692","35,042","38,796","48,858","55,851","60,795","66,940",x
"Computer programming, consultancy and related activities ",62,521,"44,100",4.5,"51,281",4.7,"20,482","27,311","30,000","33,001","38,317","51,032","59,681","63,621","69,712",x
Information service activities ,63,53,"42,046",25.7,"51,314",24.3,"17,926","24,925","27,692","30,117","34,115","51,334","64,857",x,x,x
FINANCIAL AND INSURANCE ACTIVITIES ,K ,900,"43,987",9.4,"69,872",1.7,"20,625","26,151","28,565","30,772","37,035","52,914","65,154","73,776","84,619","122,002"
"Financial service activities, except insurance and pension funding ",64,477,"50,510",12.6,"77,104",6.5,"21,940","27,934","30,391","33,874","41,177","60,441","76,120","85,827","96,422","135,706"
"Insurance, reinsurance and pension funding, except compulsory social security ",65,86,"41,588",2.3,"52,041",5.1,"21,991","26,282","28,773","30,803","35,294","49,695","59,335","62,646","68,867",x
Activities auxiliary to financial services and insurance activities ,66,336,"38,353",9.0,"64,195",-6.8,"18,166","24,190","26,251","28,481","32,673","45,001","54,069","61,787","69,651",x
REAL ESTATE ACTIVITIES ,L ,353,"29,732",9.0,"34,552",2.5,"10,979","18,500","20,921","22,864","26,124","32,901","37,389","40,000","44,006","57,129"
Real estate activities ,68,353,"29,732",9.0,"34,552",2.5,"10,979","18,500","20,921","22,864","26,124","32,901","37,389","40,000","44,006","57,129"
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M ,"1,756","37,121",6.1,"46,520",5.2,"14,630","22,862","25,200","27,469","32,157","43,202","50,500","55,108","61,143","81,805"
Legal and accounting activities ,69,555,"33,624",0.0,"46,712",3.1,"13,678","20,531","22,561","24,537","28,630","40,395","49,063","54,632","62,487",x
Activities of head offices; management consultancy activities ,70,310,"38,661",8.3,"51,741",9.7,x,"22,190","25,206","27,686","33,415","46,430","55,650","62,370","71,039",x
Architectural and engineering activities; technical testing and analysis ,71,449,"38,856",7.9,"43,826",5.3,"19,474","26,140","28,540","30,461","34,644","43,601","49,964","53,847","58,059","72,043"
Scientific research and development ,72,172,"45,041",2.2,"56,121",4.1,"24,618","30,502","32,923","35,200","40,149","51,212","57,131","60,115","66,597",x
Advertising and market research ,73,104,"35,135",13.3,"42,834",8.2,"12,541","24,000","25,116","28,000","31,039","42,077","48,716","53,347","59,020",x
"Other professional, scientific and technical activities ",74,115,"33,000",6.1,"38,365",1.5,x,"18,986","23,418","25,000","29,006","38,000","44,522","47,788","53,327",x
Veterinary activities ,75,53,"24,359",5.7,"30,580",8.9,"11,127","14,584","16,583","19,291","21,909","30,237","36,737","39,661","45,971",x
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N ,"1,200","25,261",8.6,"30,257",9.0,"6,421","11,423","14,260","17,393","21,863","29,107","34,089","37,728","41,721","56,541"
Rental and leasing activities ,77,130,"33,147",7.5,"38,145",6.6,"17,868","23,198","24,344","26,000","29,483","36,618","41,625","44,502","48,380",x
Employment activities ,78,315,"20,783",-0.3,"24,787",1.5,x,x,"9,364","11,624","16,317","24,941","29,325","31,993","36,201",x
"Travel agency, tour operator and other reservation service and related activities ",79,46,"33,089",19.9,"38,272",14.9,"14,622","21,246","23,348","24,813","29,682","38,778","44,872","47,907",x,x
Security and investigation activities ,80,69,"26,699",7.5,"28,482",5.5,"10,598",x,"21,135","22,476","24,624","29,206","31,863","33,878","35,590",x
Services to buildings and landscape activities ,81,330,"21,128",12.1,"23,551",7.4,"5,418","7,904","9,418","11,380","16,118","24,503","28,556","30,504","33,721",x
"Office administrative, office support and other business support activities ",82,310,"29,323",13.3,"38,836",15.9,"11,312","18,423","20,209","21,711","25,466","34,866","41,762","46,350","52,169",x
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O ,"1,351","33,930",2.5,"35,630",3.1,"17,132","23,269","25,419","27,192","30,445","37,870","42,493","44,734","47,337","54,611"
Public administration and defence; compulsory social security ,84,"1,351","33,930",2.5,"35,630",3.1,"17,132","23,269","25,419","27,192","30,445","37,870","42,493","44,734","47,337","54,611"
EDUCATION ,P ,"3,283","29,793",7.1,"31,398",5.2,"9,450","15,820","18,354","20,898","25,317","34,676","39,607","42,127","44,657","53,013"
Education ,85,"3,283","29,793",7.1,"31,398",5.2,"9,450","15,820","18,354","20,898","25,317","34,676","39,607","42,127","44,657","53,013"
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q ,"3,493","25,955",7.8,"29,616",5.1,"10,092","14,895","17,245","19,250","22,742","29,826","34,792","37,745","41,267","50,295"
Human health activities ,86,"2,343","29,011",6.8,"32,834",3.7,"11,793","17,513","20,088","22,003","25,453","33,605","38,571","41,438","44,248","53,194"
Residential care activities ,87,555,"20,962",5.8,"23,343",4.2,"8,831","12,495","14,058","15,642","18,439","23,578","26,664","28,548","31,923","40,873"
Social work activities without accommodation ,88,596,"20,929",10.8,"22,798",8.0,"7,753","11,466","12,922","14,604","17,950","23,904","27,093","29,156","31,341","39,091"
"ARTS, ENTERTAINMENT AND RECREATION ",R,381,"23,168",3.6,"30,411",13.5,x,x,x,x,"19,401","26,959","30,625","33,564","37,129",x
"Creative, arts and entertainment activities ",90,48,"29,156",8.9,"37,890",-1.2,x,"13,439","17,631","20,195","25,761","35,460","40,090","42,699",x,x
"Libraries, archives, museums and other cultural activities ",91,72,"27,306",3.1,"28,081",0.9,x,"17,010","19,511","21,329","23,663","29,492","32,849","34,003","37,859",x
Gambling and betting activities ,92,37,x,,"29,605",-2.3,"8,961","14,963",x,x,x,x,x,x,x,x
Sports activities and amusement and recreation activities ,93,225,"19,763",4.8,x,,x,x,x,x,x,"23,170","27,676",x,x,x
OTHER SERVICE ACTIVITIES ,S ,389,"24,715",7.1,"27,264",2.7,"7,573","11,856","13,762","15,943","20,714","27,567","31,454","34,534","38,140","49,687"
Activities of membership organisations ,94,209,"26,928",3.0,"28,859",-0.8,"7,279","13,731","16,169","19,237","23,210","28,528","33,609","36,426","39,878",x
Repair of computers and personal and household goods ,95,33,"32,662",,"38,223",7.8,x,"21,590","22,561","23,984","28,460","38,141","46,316","51,187",x,x
Other personal service activities ,96,147,"19,429",6.3,"22,500",6.1,"7,171","9,245","10,798","12,208","15,677","22,813","26,451","28,347","31,212",x
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T ,56,"9,420",16.1,"12,766",6.7,"1,824","3,118","4,118","4,788","6,815","12,377","16,973","18,584","21,538",x
Activities of households as employers of domestic personnel ,97,56,"9,420",16.1,"12,766",6.7,"1,824","3,118","4,118","4,788","6,815","12,377","16,973","18,584","21,538",x
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U ,x,x,,"35,927",0.7,x,x,x,x,x,x,x,x,x,x
Activities of extraterritorial organisations and bodies ,99,x,x,,"35,927",0.7,x,x,x,x,x,x,x,x,x,x
NOT CLASSIFIED,,x,x,,"28,825",12.3,x,x,x,x,x,x,x,x,x,x
